# Filter 218: AKARI N60 (65 mic) [M. Negrello, added Apr. 2010]
#  100 data points. Lines   3 to 102
   4.00210E+05   0.00000E+00
   4.03470E+05   8.40200E-05
   4.06790E+05   1.87740E-04
   4.10160E+05   2.67290E-04
   4.13580E+05   7.49670E-04
   4.17070E+05   0.00000E+00
   4.20610E+05   6.66740E-04
   4.24220E+05   2.38850E-04
   4.27880E+05   1.85160E-03
   4.31620E+05   4.72310E-04
   4.35410E+05   1.74890E-03
   4.39280E+05   0.00000E+00
   4.43210E+05   0.00000E+00
   4.47210E+05   3.66750E-03
   4.51290E+05   9.53410E-03
   4.55440E+05   2.23330E-02
   4.59670E+05   4.14330E-02
   4.63980E+05   8.20910E-02
   4.68370E+05   1.06290E-01
   4.72850E+05   1.18200E-01
   4.77410E+05   1.26440E-01
   4.82060E+05   1.26580E-01
   4.86800E+05   1.47240E-01
   4.91630E+05   1.34570E-01
   4.96560E+05   1.07920E-01
   5.01600E+05   6.87630E-02
   5.06730E+05   3.86550E-02
   5.11970E+05   4.26460E-02
   5.17320E+05   7.50000E-02
   5.22790E+05   1.72870E-01
   5.28370E+05   2.81400E-01
   5.34070E+05   2.15450E-01
   5.39890E+05   1.85210E-01
   5.45850E+05   2.38850E-01
   5.51930E+05   2.94640E-01
   5.58160E+05   4.00940E-01
   5.64520E+05   4.61410E-01
   5.71030E+05   5.73330E-01
   5.77700E+05   5.95710E-01
   5.84520E+05   5.92730E-01
   5.91510E+05   5.36420E-01
   5.98660E+05   5.64990E-01
   6.05990E+05   5.73450E-01
   6.13500E+05   6.34910E-01
   6.21200E+05   7.33290E-01
   6.29090E+05   9.67490E-01
   6.37190E+05   9.72310E-01
   6.45500E+05   9.84650E-01
   6.54030E+05   1.01440E+00
   6.62790E+05   9.98040E-01
   6.71780E+05   9.99120E-01
   6.81030E+05   1.06750E+00
   6.90530E+05   1.09400E+00
   7.00300E+05   1.09810E+00
   7.10350E+05   1.08370E+00
   7.20690E+05   9.84420E-01
   7.31340E+05   8.75550E-01
   7.42300E+05   7.52950E-01
   7.53610E+05   5.87450E-01
   7.65260E+05   4.15210E-01
   7.77270E+05   4.29440E-01
   7.89670E+05   3.30690E-01
   8.02480E+05   1.69320E-01
   8.15700E+05   9.85150E-02
   8.29370E+05   5.10250E-02
   8.43500E+05   1.84440E-02
   8.58120E+05   4.04120E-03
   8.73260E+05   2.65230E-03
   8.88950E+05   4.50750E-03
   9.05200E+05   4.54560E-03
   9.22060E+05   1.54060E-03
   9.39570E+05   5.15910E-04
   9.57750E+05   4.96780E-03
   9.76640E+05   4.08040E-03
   9.96300E+05   1.58410E-03
   1.01680E+06   2.99360E-03
   1.03810E+06   7.13260E-04
   1.06030E+06   0.00000E+00
   1.08350E+06   0.00000E+00
   1.10780E+06   0.00000E+00
   1.13310E+06   0.00000E+00
   1.15970E+06   0.00000E+00
   1.18750E+06   0.00000E+00
   1.21670E+06   0.00000E+00
   1.24740E+06   0.00000E+00
   1.27960E+06   0.00000E+00
   1.31360E+06   0.00000E+00
   1.34940E+06   0.00000E+00
   1.38720E+06   0.00000E+00
   1.42720E+06   0.00000E+00
   1.46960E+06   0.00000E+00
   1.51450E+06   0.00000E+00
   1.56230E+06   0.00000E+00
   1.61330E+06   0.00000E+00
   1.66760E+06   0.00000E+00
   1.72570E+06   0.00000E+00
   1.78810E+06   0.00000E+00
   1.85510E+06   0.00000E+00
   1.92730E+06   0.00000E+00
   2.00540E+06   0.00000E+00
