# Filter  42: Basel g filter (R. Buser)
#   46 data points. Lines  28 to  73
   3.30000E+03   0.00000E+00
   3.35000E+03   1.00000E-03
   3.40000E+03   2.00000E-03
   3.45000E+03   3.00000E-03
   3.50000E+03   4.00000E-03
   3.55000E+03   6.00000E-03
   3.60000E+03   6.00000E-03
   3.65000E+03   8.00000E-03
   3.70000E+03   9.00000E-03
   3.75000E+03   1.10000E-02
   3.80000E+03   1.30000E-02
   3.85000E+03   1.50000E-02
   3.90000E+03   1.80000E-02
   3.95000E+03   2.20000E-02
   4.00000E+03   3.00000E-02
   4.05000E+03   4.10000E-02
   4.10000E+03   6.00000E-02
   4.15000E+03   8.20000E-02
   4.20000E+03   1.10000E-01
   4.25000E+03   1.50000E-01
   4.30000E+03   2.11000E-01
   4.35000E+03   2.96000E-01
   4.40000E+03   4.24000E-01
   4.45000E+03   5.98000E-01
   4.50000E+03   7.59000E-01
   4.55000E+03   8.87000E-01
   4.60000E+03   9.72000E-01
   4.65000E+03   9.86000E-01
   4.70000E+03   9.73000E-01
   4.75000E+03   8.88000E-01
   4.80000E+03   7.97000E-01
   4.85000E+03   6.76000E-01
   4.90000E+03   5.46000E-01
   4.95000E+03   4.38000E-01
   5.00000E+03   3.11000E-01
   5.05000E+03   2.28000E-01
   5.10000E+03   1.45000E-01
   5.15000E+03   9.30000E-02
   5.20000E+03   5.70000E-02
   5.25000E+03   3.20000E-02
   5.30000E+03   2.20000E-02
   5.35000E+03   1.10000E-02
   5.40000E+03   7.00000E-03
   5.45000E+03   4.00000E-03
   5.50000E+03   4.00000E-03
   5.55000E+03   0.00000E+00
