# Filter  43: Basel r filter (R. Buser)
#   22 data points. Lines  76 to  97
   5.85000E+03   0.00000E+00
   5.90000E+03   1.00000E-03
   5.95000E+03   1.10000E-02
   6.00000E+03   3.80000E-02
   6.05000E+03   8.30000E-02
   6.10000E+03   1.57000E-01
   6.15000E+03   2.88000E-01
   6.20000E+03   4.87000E-01
   6.25000E+03   7.04000E-01
   6.30000E+03   8.19000E-01
   6.35000E+03   9.16000E-01
   6.40000E+03   9.83000E-01
   6.45000E+03   1.00000E+00
   6.50000E+03   9.42000E-01
   6.55000E+03   8.62000E-01
   6.60000E+03   6.89000E-01
   6.65000E+03   3.92000E-01
   6.70000E+03   1.28000E-01
   6.75000E+03   3.50000E-02
   6.80000E+03   6.00000E-03
   6.85000E+03   6.00000E-03
   6.90000E+03   0.00000E+00
