# Filter  41: Basel u filter (R. Buser)
#   23 data points. Lines   3 to  25
   3.00000E+03   0.00000E+00
   3.05000E+03   4.00000E-03
   3.10000E+03   2.40000E-02
   3.15000E+03   8.00000E-02
   3.20000E+03   1.54000E-01
   3.25000E+03   2.68000E-01
   3.30000E+03   4.11000E-01
   3.35000E+03   5.48000E-01
   3.40000E+03   6.70000E-01
   3.45000E+03   7.69000E-01
   3.50000E+03   8.39000E-01
   3.55000E+03   8.89000E-01
   3.60000E+03   9.41000E-01
   3.65000E+03   1.00000E+00
   3.70000E+03   9.60000E-01
   3.75000E+03   9.03000E-01
   3.80000E+03   7.73000E-01
   3.85000E+03   5.73000E-01
   3.90000E+03   3.54000E-01
   3.95000E+03   1.63000E-01
   4.00000E+03   5.30000E-02
   4.05000E+03   7.00000E-03
   4.10000E+03   0.00000E+00
