# Filter  41: Basel u filter (R. Buser)
#   23 data points. Lines   3 to  25
   3.00000E+03   0.00000E+00
   3.05000E+03   4.00000E-03
   3.10000E+03   2.40000E-02
   3.15000E+03   8.00000E-02
   3.20000E+03   1.54000E-01
   3.25000E+03   2.68000E-01
   3.30000E+03   4.11000E-01
   3.35000E+03   5.48000E-01
   3.40000E+03   6.70000E-01
   3.45000E+03   7.69000E-01
   3.50000E+03   8.39000E-01
   3.55000E+03   8.89000E-01
   3.60000E+03   9.41000E-01
   3.65000E+03   1.00000E+00
   3.70000E+03   9.60000E-01
   3.75000E+03   9.03000E-01
   3.80000E+03   7.73000E-01
   3.85000E+03   5.73000E-01
   3.90000E+03   3.54000E-01
   3.95000E+03   1.63000E-01
   4.00000E+03   5.30000E-02
   4.05000E+03   7.00000E-03
   4.10000E+03   0.00000E+00
# Filter  42: Basel g filter (R. Buser)
#   46 data points. Lines  28 to  73
   3.30000E+03   0.00000E+00
   3.35000E+03   1.00000E-03
   3.40000E+03   2.00000E-03
   3.45000E+03   3.00000E-03
   3.50000E+03   4.00000E-03
   3.55000E+03   6.00000E-03
   3.60000E+03   6.00000E-03
   3.65000E+03   8.00000E-03
   3.70000E+03   9.00000E-03
   3.75000E+03   1.10000E-02
   3.80000E+03   1.30000E-02
   3.85000E+03   1.50000E-02
   3.90000E+03   1.80000E-02
   3.95000E+03   2.20000E-02
   4.00000E+03   3.00000E-02
   4.05000E+03   4.10000E-02
   4.10000E+03   6.00000E-02
   4.15000E+03   8.20000E-02
   4.20000E+03   1.10000E-01
   4.25000E+03   1.50000E-01
   4.30000E+03   2.11000E-01
   4.35000E+03   2.96000E-01
   4.40000E+03   4.24000E-01
   4.45000E+03   5.98000E-01
   4.50000E+03   7.59000E-01
   4.55000E+03   8.87000E-01
   4.60000E+03   9.72000E-01
   4.65000E+03   9.86000E-01
   4.70000E+03   9.73000E-01
   4.75000E+03   8.88000E-01
   4.80000E+03   7.97000E-01
   4.85000E+03   6.76000E-01
   4.90000E+03   5.46000E-01
   4.95000E+03   4.38000E-01
   5.00000E+03   3.11000E-01
   5.05000E+03   2.28000E-01
   5.10000E+03   1.45000E-01
   5.15000E+03   9.30000E-02
   5.20000E+03   5.70000E-02
   5.25000E+03   3.20000E-02
   5.30000E+03   2.20000E-02
   5.35000E+03   1.10000E-02
   5.40000E+03   7.00000E-03
   5.45000E+03   4.00000E-03
   5.50000E+03   4.00000E-03
   5.55000E+03   0.00000E+00
# Filter  43: Basel r filter (R. Buser)
#   22 data points. Lines  76 to  97
   5.85000E+03   0.00000E+00
   5.90000E+03   1.00000E-03
   5.95000E+03   1.10000E-02
   6.00000E+03   3.80000E-02
   6.05000E+03   8.30000E-02
   6.10000E+03   1.57000E-01
   6.15000E+03   2.88000E-01
   6.20000E+03   4.87000E-01
   6.25000E+03   7.04000E-01
   6.30000E+03   8.19000E-01
   6.35000E+03   9.16000E-01
   6.40000E+03   9.83000E-01
   6.45000E+03   1.00000E+00
   6.50000E+03   9.42000E-01
   6.55000E+03   8.62000E-01
   6.60000E+03   6.89000E-01
   6.65000E+03   3.92000E-01
   6.70000E+03   1.28000E-01
   6.75000E+03   3.50000E-02
   6.80000E+03   6.00000E-03
   6.85000E+03   6.00000E-03
   6.90000E+03   0.00000E+00
