# Filter 395: EFOSC2 R642 [added Oct.2014, via R.Decarli]
#  296 data points. Lines   3 to 298
   3.00000E+03   0.00000E+00
   5.95500E+03   0.00000E+00
   5.97500E+03   1.00000E-04
   5.98500E+03   2.00000E-04
   5.99000E+03   3.00000E-04
   5.99500E+03   4.00000E-04
   6.00000E+03   6.00000E-04
   6.00500E+03   8.00000E-04
   6.01000E+03   1.10000E-03
   6.01500E+03   1.60000E-03
   6.02000E+03   2.10000E-03
   6.02500E+03   2.90000E-03
   6.03000E+03   3.90000E-03
   6.03500E+03   5.30000E-03
   6.04000E+03   7.00000E-03
   6.04500E+03   9.30000E-03
   6.05000E+03   1.24000E-02
   6.05500E+03   1.63000E-02
   6.06000E+03   2.11000E-02
   6.06500E+03   2.73000E-02
   6.07000E+03   3.48000E-02
   6.07500E+03   4.39000E-02
   6.08000E+03   5.44000E-02
   6.08500E+03   6.65000E-02
   6.09000E+03   7.98000E-02
   6.09500E+03   9.42000E-02
   6.10000E+03   1.09800E-01
   6.10500E+03   1.26600E-01
   6.11000E+03   1.43400E-01
   6.11500E+03   1.60500E-01
   6.12000E+03   1.76100E-01
   6.12500E+03   1.92000E-01
   6.13000E+03   2.09000E-01
   6.13500E+03   2.25700E-01
   6.14000E+03   2.41100E-01
   6.14500E+03   2.55500E-01
   6.15000E+03   2.68500E-01
   6.15500E+03   2.79900E-01
   6.16000E+03   2.90000E-01
   6.16500E+03   2.99600E-01
   6.17000E+03   3.08400E-01
   6.17500E+03   3.16700E-01
   6.18000E+03   3.25200E-01
   6.18500E+03   3.34000E-01
   6.19000E+03   3.43200E-01
   6.19500E+03   3.53200E-01
   6.20000E+03   3.63700E-01
   6.20500E+03   3.74500E-01
   6.21000E+03   3.85800E-01
   6.21500E+03   3.97100E-01
   6.22000E+03   4.08100E-01
   6.22500E+03   4.19200E-01
   6.23000E+03   4.29900E-01
   6.23500E+03   4.40200E-01
   6.24000E+03   4.49700E-01
   6.24500E+03   4.58400E-01
   6.25000E+03   4.66800E-01
   6.25500E+03   4.74200E-01
   6.26000E+03   4.80900E-01
   6.26500E+03   4.87100E-01
   6.27000E+03   4.92500E-01
   6.27500E+03   4.97200E-01
   6.28000E+03   5.01200E-01
   6.28500E+03   5.04200E-01
   6.29000E+03   5.06700E-01
   6.29500E+03   5.08300E-01
   6.30000E+03   5.09100E-01
   6.30500E+03   5.09500E-01
   6.31500E+03   5.09200E-01
   6.32000E+03   5.08900E-01
   6.32500E+03   5.08700E-01
   6.33000E+03   5.08900E-01
   6.33500E+03   5.09400E-01
   6.34000E+03   5.10500E-01
   6.34500E+03   5.12400E-01
   6.35000E+03   5.15000E-01
   6.35500E+03   5.18400E-01
   6.36000E+03   5.22400E-01
   6.36500E+03   5.27100E-01
   6.37000E+03   5.32000E-01
   6.37500E+03   5.37100E-01
   6.38000E+03   5.42400E-01
   6.38500E+03   5.47300E-01
   6.39000E+03   5.51900E-01
   6.39500E+03   5.55900E-01
   6.40000E+03   5.59500E-01
   6.40500E+03   5.62400E-01
   6.41000E+03   5.64700E-01
   6.41500E+03   5.66600E-01
   6.42000E+03   5.68100E-01
   6.42500E+03   5.69200E-01
   6.43000E+03   5.70200E-01
   6.43500E+03   5.71300E-01
   6.44000E+03   5.72500E-01
   6.44500E+03   5.74000E-01
   6.45000E+03   5.75500E-01
   6.45500E+03   5.77100E-01
   6.46000E+03   5.79200E-01
   6.46500E+03   5.81200E-01
   6.47000E+03   5.83300E-01
   6.47500E+03   5.85100E-01
   6.48000E+03   5.87000E-01
   6.48500E+03   5.88700E-01
   6.49000E+03   5.90300E-01
   6.49500E+03   5.91100E-01
   6.50000E+03   5.91700E-01
   6.50500E+03   5.92200E-01
   6.51000E+03   5.92000E-01
   6.51500E+03   5.91400E-01
   6.52000E+03   5.90500E-01
   6.52500E+03   5.89500E-01
   6.53000E+03   5.88100E-01
   6.53500E+03   5.86200E-01
   6.54000E+03   5.84200E-01
   6.54500E+03   5.82300E-01
   6.55000E+03   5.80600E-01
   6.55500E+03   5.78500E-01
   6.56000E+03   5.76200E-01
   6.56500E+03   5.73800E-01
   6.57000E+03   5.71800E-01
   6.57500E+03   5.69800E-01
   6.58000E+03   5.67700E-01
   6.58500E+03   5.65900E-01
   6.59000E+03   5.64500E-01
   6.59500E+03   5.63600E-01
   6.60000E+03   5.63000E-01
   6.60500E+03   5.62600E-01
   6.61000E+03   5.62800E-01
   6.61500E+03   5.63300E-01
   6.62000E+03   5.64300E-01
   6.62500E+03   5.65700E-01
