# Filter 100: J-ESO (via Mathias Schultheis).
#  763 data points. Lines   3 to 765
   9.94827E+03   0.00000E+00
   9.95223E+03   1.11427E-04
   9.95619E+03   3.09616E-04
   9.96016E+03   5.07957E-04
   9.96413E+03   7.06444E-04
   9.96810E+03   9.05129E-04
   9.97208E+03   1.00000E-03
   9.97606E+03   1.00000E-03
   9.98004E+03   1.00000E-03
   9.98403E+03   1.00000E-03
   9.98801E+03   1.00000E-03
   9.99201E+03   1.00000E-03
   9.99600E+03   1.00000E-03
   1.00000E+04   1.00000E-03
   1.00040E+04   1.00000E-03
   1.00080E+04   1.00000E-03
   1.00120E+04   1.00000E-03
   1.00160E+04   1.00000E-03
   1.00200E+04   1.00000E-03
   1.00241E+04   1.00000E-03
   1.00281E+04   1.00000E-03
   1.00321E+04   1.00000E-03
   1.00361E+04   1.00000E-03
   1.00402E+04   1.00000E-03
   1.00442E+04   1.00000E-03
   1.00482E+04   1.00000E-03
   1.00523E+04   1.00000E-03
   1.00563E+04   1.00000E-03
   1.00604E+04   1.00000E-03
   1.00644E+04   1.00000E-03
   1.00685E+04   1.00000E-03
   1.00725E+04   1.00000E-03
   1.00766E+04   1.00000E-03
   1.00806E+04   1.00000E-03
   1.00847E+04   1.00000E-03
   1.00888E+04   1.00000E-03
   1.00929E+04   1.00000E-03
   1.00969E+04   1.00000E-03
   1.01010E+04   1.00000E-03
   1.01051E+04   1.00000E-03
   1.01092E+04   1.00000E-03
   1.01133E+04   1.00000E-03
   1.01174E+04   1.00000E-03
   1.01215E+04   1.00000E-03
   1.01256E+04   1.00000E-03
   1.01297E+04   1.00000E-03
   1.01338E+04   1.00000E-03
   1.01379E+04   1.00000E-03
   1.01420E+04   1.00000E-03
   1.01461E+04   1.00000E-03
   1.01502E+04   1.00000E-03
   1.01543E+04   1.00000E-03
   1.01585E+04   1.00000E-03
   1.01626E+04   1.00000E-03
   1.01667E+04   1.00000E-03
   1.01709E+04   1.00000E-03
   1.01750E+04   1.00020E-03
   1.01792E+04   1.08307E-03
   1.01833E+04   1.16599E-03
   1.01874E+04   1.24899E-03
   1.01916E+04   1.33205E-03
   1.01958E+04   1.41518E-03
   1.01999E+04   1.49836E-03
   1.02041E+04   1.58164E-03
   1.02082E+04   1.66496E-03
   1.02124E+04   1.74836E-03
   1.02166E+04   1.83183E-03
   1.02208E+04   1.91537E-03
   1.02249E+04   1.99899E-03
   1.02291E+04   2.08266E-03
   1.02333E+04   2.16639E-03
   1.02375E+04   2.25020E-03
   1.02417E+04   2.33408E-03
   1.02459E+04   2.41803E-03
   1.02501E+04   2.50205E-03
   1.02543E+04   2.58614E-03
   1.02585E+04   2.67030E-03
   1.02627E+04   2.75451E-03
   1.02669E+04   2.83881E-03
   1.02712E+04   2.92316E-03
   1.02754E+04   3.00760E-03
   1.02796E+04   3.09211E-03
   1.02838E+04   3.17668E-03
   1.02881E+04   3.26131E-03
   1.02923E+04   3.34604E-03
   1.02965E+04   3.43080E-03
   1.03008E+04   3.51566E-03
   1.03050E+04   3.60059E-03
   1.03093E+04   3.68557E-03
   1.03135E+04   3.77062E-03
   1.03178E+04   3.85576E-03
   1.03220E+04   3.94096E-03
   1.03263E+04   4.07869E-03
   1.03306E+04   4.33469E-03
   1.03348E+04   4.59093E-03
   1.03391E+04   4.84739E-03
   1.03434E+04   5.10408E-03
   1.03477E+04   5.36091E-03
   1.03520E+04   5.61801E-03
   1.03563E+04   5.87530E-03
   1.03605E+04   6.13281E-03
   1.03648E+04   6.39056E-03
   1.03691E+04   6.64851E-03
   1.03734E+04   6.90666E-03
   1.03777E+04   7.27500E-03
   1.03821E+04   7.70595E-03
   1.03864E+04   8.13731E-03
   1.03907E+04   8.56906E-03
   1.03950E+04   9.00108E-03
   1.03993E+04   9.43340E-03
   1.04037E+04   9.86621E-03
   1.04080E+04   1.02993E-02
   1.04123E+04   1.07328E-02
   1.04167E+04   1.11667E-02
   1.04210E+04   1.16009E-02
   1.04254E+04   1.20495E-02
   1.04297E+04   1.26586E-02
   1.04341E+04   1.32679E-02
   1.04384E+04   1.38779E-02
   1.04428E+04   1.44883E-02
   1.04471E+04   1.50993E-02
   1.04515E+04   1.57107E-02
   1.04559E+04   1.63227E-02
   1.04603E+04   1.69351E-02
   1.04646E+04   1.75482E-02
   1.04690E+04   1.81616E-02
   1.04734E+04   1.87756E-02
   1.04778E+04   1.93344E-02
   1.04822E+04   1.98617E-02
   1.04866E+04   2.03893E-02
   1.04910E+04   2.09173E-02
   1.04954E+04   2.14458E-02
   1.04998E+04   2.19748E-02
   1.05042E+04   2.25043E-02
   1.05086E+04   2.30340E-02
   1.05130E+04   2.35643E-02
   1.05175E+04   2.40951E-02
   1.05219E+04   2.46263E-02
   1.05263E+04   2.51841E-02
   1.05307E+04   2.58050E-02
   1.05352E+04   2.64264E-02
   1.05396E+04   2.70481E-02
   1.05441E+04   2.76704E-02
   1.05485E+04   2.82933E-02
