#	B-fors
#Wavelength (nm)	%T
1500	10.98099232
1498	10.79095936
1496	10.61832905
1494	10.4344883
1492	10.25806904
1490	10.09664345
1488	9.933657646
1486	9.766199112
1484	9.604094505
1482	9.453601837
1480	9.307501793
1478	9.16182518
1476	9.016221046
1474	8.88334465
1472	8.748288155
1470	8.614673615
1468	8.477488518
1466	8.352478981
1464	8.218092918
1462	8.093647003
1460	7.96450758
1458	7.846124649
1456	7.718124866
1454	7.597862244
1452	7.48025465
1450	7.364807129
1448	7.248894691
1446	7.129852295
1444	7.015482903
1442	6.901842117
1440	6.780744553
1438	6.670249462
1436	6.552812576
1434	6.439729691
1432	6.327654362
1430	6.20565176
1428	6.102450848
1426	5.975680351
1424	5.866577148
1422	5.749189377
1420	5.640048027
1418	5.525920868
1416	5.401260376
1414	5.292340755
1412	5.166063309
1410	5.052536964
1408	4.937050819
1406	4.820401192
1404	4.707170963
1402	4.603057384
1400	4.495260715
1398	4.383466721
1396	4.302198887
1394	4.18789959
1392	4.095646381
1390	3.996146917
1388	3.906007767
1386	3.805680513
1384	3.713858843
1382	3.610715389
1380	3.503673077
1378	3.402979374
1376	3.306349277
1374	3.206960917
1372	3.114547491
1370	3.016583681
1368	2.921704769
1366	2.834377289
1364	2.757425308
1362	2.664983749
1360	2.570905685
1358	2.493784189
1356	2.41577816
1354	2.333963394
1352	2.259075165
1350	2.190297604
1348	2.129637241
1346	2.04940629
1344	1.983961105
1342	1.922338128
1340	1.861806989
1338	1.801622152
1336	1.74764204
1334	1.691233158
1332	1.635562301
1330	1.579424739
1328	1.536114454
1326	1.495512724
1324	1.43696928
1322	1.393734813
1320	1.35422492
1318	1.314122915
1316	1.272946
1314	1.230825186
1312	1.196802735
1310	1.167124152
1308	1.127940655
1306	1.099231601
1304	1.063400149
1302	1.033231497
1300	1.005707145
1298	0.978353322
1296	0.954800963
1294	0.918182433
1292	0.899474502
1290	0.872302234
1288	0.845252514
1286	0.822665751
1284	0.799348474
1282	0.779092729
1280	0.752313554
1278	0.73217833
1276	0.707322538
1274	0.688695252
1272	0.667122722
1270	0.650928378
1268	0.629846156
1266	0.606726646
1264	0.588602662
1262	0.567486525
1260	0.547563493
1258	0.531941176
1256	0.516144812
1254	0.494709462
1252	0.489531934
1250	0.450750619
1248	0.440250903
1246	0.425482482
1244	0.406788617
1242	0.391825199
1240	0.37715894
1238	0.363096684
1236	0.349551797
1234	0.329679191
1232	0.318397433
1230	0.30360058
1228	0.285431624
1226	0.278978974
1224	0.262959302
1222	0.253307462
1220	0.24556531
1218	0.231392682
1216	0.218505591
1214	0.208717749
1212	0.197469264
1210	0.190453544
1208	0.184729874
1206	0.174036175
1204	0.163928285
1202	0.160452694
1200	0.151830778
1198	0.144088566
1196	0.135852978
1194	0.130567879
1192	0.128537342
1190	0.120928593
1188	0.110768385
1186	0.110328771
1184	0.108756743
1182	0.098470159
1180	0.098165296
1178	0.093905538
1176	0.089724667
1174	0.090031065
1172	0.083252795
1170	0.086589977
1168	0.077305481
1166	0.076420993
1164	0.066319443
1162	0.073238984
1160	0.061891537
1158	0.061447471
1156	0.06156452
1154	0.062831208
1152	0.0581154
1150	0.057951786
1148	0.060911655
1146	0.05063853
1144	0.051775575
1142	0.048101034
1140	0.047312226
1138	0.04653639
1136	0.045733176
1134	0.041625906
1132	0.036670443
1130	0.03654591
1128	0.038944863
1126	0.031057196
1124	0.035451729
1122	0.031289145
1120	0.033056825
1118	0.03045506
1116	0.027009027
1114	0.02717145
1112	0.026430231
1110	0.020463839
1108	0.022930961
1106	0.021243474
1104	0.025444394
1102	0.015677029
1100	0.014888104
1098	0.020487085
1096	0.014612016
1094	0.013814843
1092	0.012535783
1090	0.01414167
1088	0.010858879
1086	0.012584767
1084	0.013733268
1082	0.009907572
1080	0.011843611
1078	0.002211522
1076	0.015732117
1074	0.003345521
1072	0.005378637
1070	0.007973331
1068	0.011256441
1066	0.0091291
1064	0.008398832
1062	0.008699227
1060	0.003555223
1058	0.011378937
1056	0.004390918
1054	0.006668694
1052	0.008779296
1050	0.008077405
1048	0.004784921
1046	0.006844807
1044	0.008178761
1042	0.003590144
1040	0.0085999
1038	0.006310723
1036	0.004240161
1034	0.001462502
1032	0.005561518
1030	0.008049159
1028	-0.000994731
1026	0.005418605
1024	0.002433703
1022	0.00519522
1020	0.003034441
1018	0.019872528
1016	-0.003329634
1014	0.000216979
1012	-0.000833658
1010	0.002383382
1008	0.012533894
1006	-0.000778437
1004	0.00522828
1002	0.006248657
1000	0.002940967
998	0.00013104
996	0.0035133
994	0.004366157
