#	g-fors
#Wavelength (nm)	%T
1500	10.93847084
1498	10.71259785
1496	10.4994936
1494	10.29219818
1492	10.08850288
1490	9.904396057
1488	9.713535309
1486	9.529173851
1484	9.3519907
1482	9.177448273
1480	9.009647369
1478	8.847316742
1476	8.694754601
1474	8.542428017
1472	8.399046898
1470	8.260047913
1468	8.120223045
1466	7.981142521
1464	7.848750114
1462	7.727514744
1460	7.591765404
1458	7.474006653
1456	7.36247921
1454	7.245919704
1452	7.133125305
1450	7.03118515
1448	6.926214695
1446	6.822002888
1444	6.717453957
1442	6.618313313
1440	6.515458107
1438	6.418494225
1436	6.318237782
1434	6.224143505
1432	6.123514652
1430	6.032445431
1428	5.934292793
1426	5.837300301
1424	5.743434429
1422	5.647668362
1420	5.554094315
1418	5.455384731
1416	5.351597786
1414	5.25675869
1412	5.144278526
1410	5.050474167
1408	4.940083981
1406	4.841834545
1404	4.744561195
1402	4.648417473
1400	4.547602177
1398	4.448232174
1396	4.366878986
1394	4.258677483
1392	4.165500641
1390	4.063670635
1388	3.981516838
1386	3.883271217
1384	3.780413389
1382	3.67586422
1380	3.564060211
1378	3.462767601
1376	3.354629993
1374	3.254723549
1372	3.159658194
1370	3.04925561
1368	2.956703186
1366	2.85503602
1364	2.762219906
1362	2.678799868
1360	2.57277894
1358	2.48643136
1356	2.408533812
1354	2.314380169
1352	2.241444826
1350	2.161550522
1348	2.085020542
1346	2.018061876
1344	1.947361231
1342	1.877041936
1340	1.818194747
1338	1.757009149
1336	1.698390245
1334	1.642598152
1332	1.587612867
1330	1.540761352
1328	1.484717011
1326	1.435507417
1324	1.392801046
1322	1.354797482
1320	1.311117053
1318	1.266689301
1316	1.230312586
1314	1.194417357
1312	1.171652436
1310	1.12716198
1308	1.097201824
1306	1.070985794
1304	1.040980101
1302	1.011401534
1300	0.984718204
1298	0.964678049
1296	0.936763823
1294	0.91978538
1292	0.887656331
1290	0.865462959
1288	0.844589829
1286	0.824688375
1284	0.801594853
1282	0.782013297
1280	0.757115006
1278	0.742879689
1276	0.716198564
1274	0.697851062
1272	0.67901814
1270	0.656427085
1268	0.640537143
1266	0.625400245
1264	0.600768328
1262	0.575936198
1260	0.561767519
1258	0.542269945
1256	0.521483064
1254	0.503673136
1252	0.483210564
1250	0.459597647
1248	0.443252325
1246	0.426262677
1244	0.40499574
1242	0.390309453
1240	0.372883588
1238	0.352117598
1236	0.341239393
1234	0.323033065
1232	0.31539464
1230	0.291953921
1228	0.276200324
1226	0.264519721
1224	0.255337417
1222	0.240627632
1220	0.231806561
1218	0.226920441
1216	0.205364212
1214	0.200989917
1212	0.191886947
1210	0.182363913
1208	0.173897371
1206	0.169772208
1204	0.1601547
1202	0.153691307
1200	0.142756388
1198	0.147888452
1196	0.139541179
1194	0.126555905
1192	0.126982778
1190	0.12397667
1188	0.115157269
1186	0.11086832
1184	0.108842403
1182	0.106444374
1180	0.100859106
1178	0.100184567
1176	0.095394827
1174	0.086931974
1172	0.088701338
1170	0.085419372
1168	0.087346628
1166	0.080667563
1164	0.081372701
1162	0.074170701
1160	0.074671529
1158	0.069167241
1156	0.070310064
1154	0.066789575
1152	0.059892144
1150	0.063728735
1148	0.060018275
1146	0.059684727
1144	0.056692258
1142	0.05035986
1140	0.047005363
1138	0.046771385
1136	0.043255135
1134	0.04191361
1132	0.04121783
1130	0.03966365
1128	0.049024589
1126	0.025693409
1124	0.029677112
1122	0.027008023
1120	0.030599551
1118	0.029886011
1116	0.025840089
1114	0.02429988
1112	0.026023626
1110	0.023541106
1108	0.021418016
1106	0.021419548
1104	0.018166814
1102	0.015293121
1100	0.014494675
1098	0.017578611
1096	0.016069759
1094	0.015408533
1092	0.017989596
1090	0.018321304
1088	0.011260031
1086	0.018718949
1084	0.012017502
1082	0.010690088
1080	0.008423121
1078	0.007178338
1076	0.009272493
1074	0.010007514
1072	0.01263866
1070	0.010494061
1068	0.011825636
1066	0.010298261
1064	0.008421888
1062	0.010474968
1060	0.005953401
1058	0.010245743
1056	0.010916452
1054	0.009165732
1052	0.009911238
1050	0.008020709
1048	0.006569611
1046	0.009689665
1044	0.006900569
1042	0.006491802
1040	0.005159532
1038	0.005375986
1036	0.004003321
1034	0.003439272
1032	0.007455327
1030	0.000718497
1028	0.005791805
1026	-0.002497677
1024	0.005570603
1022	0.00439604
1020	0.007698428
1018	0.00388051
1016	0.004306528
1014	0.005367022
1012	0.003837909
1010	0.005847474
1008	-0.000595943
1006	-0.001177153
1004	0.004240203
1002	0.00255357
1000	0.004509855
998	0.000153399
996	0.001919145
