#     U-FORS
#Wavelength (nm)	%T
1500	12.33789444
1498	12.1599493
1496	11.98963642
1494	11.80073929
1492	11.60949039
1490	11.42829037
1488	11.23938084
1486	11.03312874
1484	10.82973194
1482	10.62914085
1480	10.41653252
1478	10.20446682
1476	9.987909317
1474	9.775361061
1472	9.560200691
1470	9.340074539
1468	9.116898537
1466	8.898275375
1464	8.679881096
1462	8.46667099
1460	8.244059563
1458	8.043054581
1456	7.854093552
1454	7.63201952
1452	7.454992294
1450	7.268161297
1448	7.094183445
1446	6.897751808
1444	6.730726242
1442	6.576564789
1440	6.411322117
1438	6.268205643
1436	6.117312908
1434	5.979230881
1432	5.855191231
1430	5.719966888
1428	5.607980728
1426	5.501224995
1424	5.375509739
1422	5.279930115
1420	5.186121464
1418	5.087594509
1416	4.997922421
1414	4.907126904
1412	4.821022034
1410	4.745821476
1408	4.656972408
1406	4.578771591
1404	4.501038551
1402	4.418561459
1400	4.340132713
1398	4.250229359
1396	4.189488411
1394	4.102493763
1392	4.024578094
1390	3.948749542
1388	3.877301455
1386	3.81519413
1384	3.751295805
1382	3.705945253
1380	3.665647984
1378	3.640766859
1376	3.635881901
1374	3.623488188
1372	3.603438377
1370	3.563885689
1368	3.505567789
1366	3.443636417
1364	3.366208076
1362	3.303048849
1360	3.208041191
1358	3.127584696
1356	3.049806595
1354	2.958305359
1352	2.864237547
1350	2.778428793
1348	2.680430651
1346	2.587462664
1344	2.490128517
1342	2.399976492
1340	2.30675745
1338	2.206884384
1336	2.11529541
1334	2.030727386
1332	1.930802464
1330	1.855502486
1328	1.76142323
1326	1.678147316
1324	1.606470346
1322	1.531392932
1320	1.460008502
1318	1.389360309
1316	1.32291162
1314	1.266132474
1312	1.206737876
1310	1.152227402
1308	1.102433205
1306	1.054085612
1304	1.011404634
1302	0.971651793
1300	0.92781055
1298	0.890026629
1296	0.858624399
1294	0.827570915
1292	0.79816097
1290	0.769343019
1288	0.743895054
1286	0.718806326
1284	0.703700662
1282	0.673263431
1280	0.655606687
1278	0.636811853
1276	0.621511698
1274	0.607802749
1272	0.590305805
1270	0.5754264
1268	0.562289178
1266	0.55057317
1264	0.535473406
1262	0.52386564
1260	0.512096584
1258	0.502355278
1256	0.49095732
1254	0.481584758
1252	0.46933046
1250	0.461921603
1248	0.447457224
1246	0.434213042
1244	0.421345294
1242	0.420572996
1240	0.400280058
1238	0.390690148
1236	0.384266257
1234	0.368658304
1232	0.352104068
1230	0.344326288
1228	0.333872199
1226	0.31414035
1224	0.310855776
1222	0.301341236
1220	0.289745092
1218	0.270764053
1216	0.267816961
1214	0.2436537
1212	0.241308153
1210	0.229476392
1208	0.220867127
1206	0.206481546
1204	0.200639829
1202	0.193424925
1200	0.18537344
1198	0.176773086
1196	0.165611476
1194	0.167495996
1192	0.15549098
1190	0.147467285
1188	0.141997248
1186	0.134471938
1184	0.127022848
1182	0.12593706
1180	0.11699903
1178	0.112121306
1176	0.107056476
1174	0.103260003
1172	0.101201445
1170	0.091573849
1168	0.093753837
1166	0.085675791
1164	0.087636635
1162	0.077174753
1160	0.075807221
1158	0.070311569
1156	0.066786647
1154	0.067365341
1152	0.075295717
1150	0.054340951
1148	0.051546626
1146	0.052098475
1144	0.051995654
1142	0.043993063
1140	0.053114649
1138	0.04728248
1136	0.04274787
1134	0.041278325
1132	0.0425147
1130	0.036932867
1128	0.036729202
1126	0.034500569
1124	0.033314493
1122	0.029794427
1120	0.030985165
1118	0.029692912
1116	0.029101837
1114	0.025272401
1112	0.029087309
1110	0.026225615
1108	0.020840967
1106	0.02182431
1104	0.029076869
1102	0.023713192
1100	0.023734434
1098	0.01756791
1096	0.019510185
1094	0.019482812
1092	0.019098785
1090	0.020830976
1088	0.016811553
1086	0.017560598
1084	0.018154399
1082	0.016998267
1080	0.016836938
1078	0.014406192
1076	0.01424305
1074	0.018826809
1072	0.025208224
1070	0.005910747
1068	0.01048564
1066	0.010664128
1064	0.011846395
1062	0.008723626
1060	0.007916059
1058	0.009125297
