# Filter 345: Gemini GMOS-S u [added August 2012]
#  546 data points. Lines   3 to 548
   3.05000E+03   0.00000E+00
   3.05200E+03   0.00000E+00
   3.05400E+03   0.00000E+00
   3.05600E+03   1.00000E-03
   3.05800E+03   1.00000E-03
   3.06000E+03   1.00000E-03
   3.06200E+03   1.00000E-03
   3.06400E+03   1.00000E-03
   3.06600E+03   1.00000E-03
   3.06800E+03   1.00000E-03
   3.07000E+03   2.00000E-03
   3.07200E+03   2.00000E-03
   3.07400E+03   2.00000E-03
   3.07600E+03   2.00000E-03
   3.07800E+03   2.00000E-03
   3.08000E+03   3.00000E-03
   3.08200E+03   3.00000E-03
   3.08400E+03   3.00000E-03
   3.08600E+03   3.00000E-03
   3.08800E+03   3.00000E-03
   3.09000E+03   4.00000E-03
   3.09200E+03   4.00000E-03
   3.09400E+03   5.00000E-03
   3.09600E+03   5.00000E-03
   3.09800E+03   5.00000E-03
   3.10000E+03   6.00000E-03
   3.10200E+03   6.00000E-03
   3.10400E+03   7.00000E-03
   3.10600E+03   7.00000E-03
   3.10800E+03   8.00000E-03
   3.11000E+03   8.00000E-03
   3.11200E+03   9.00000E-03
   3.11400E+03   9.00000E-03
   3.11600E+03   1.00000E-02
   3.11800E+03   1.10000E-02
   3.12000E+03   1.20000E-02
   3.12200E+03   1.20000E-02
   3.12400E+03   1.30000E-02
   3.12600E+03   1.40000E-02
   3.12800E+03   1.50000E-02
   3.13000E+03   1.60000E-02
   3.13200E+03   1.70000E-02
   3.13400E+03   1.80000E-02
   3.13600E+03   1.90000E-02
   3.13800E+03   2.00000E-02
   3.14000E+03   2.10000E-02
   3.14200E+03   2.20000E-02
   3.14400E+03   2.40000E-02
   3.14600E+03   2.50000E-02
   3.14800E+03   2.60000E-02
   3.15000E+03   2.80000E-02
   3.15200E+03   2.90000E-02
   3.15400E+03   3.00000E-02
   3.15600E+03   3.20000E-02
   3.15800E+03   3.40000E-02
   3.16000E+03   3.50000E-02
   3.16200E+03   3.70000E-02
   3.16400E+03   3.80000E-02
   3.16600E+03   4.00000E-02
   3.16800E+03   4.20000E-02
   3.17000E+03   4.40000E-02
   3.17200E+03   4.60000E-02
   3.17400E+03   4.80000E-02
   3.17600E+03   5.00000E-02
   3.17800E+03   5.20000E-02
   3.18000E+03   5.40000E-02
   3.18200E+03   5.60000E-02
   3.18400E+03   5.80000E-02
   3.18600E+03   6.00000E-02
   3.18800E+03   6.20000E-02
   3.19000E+03   6.50000E-02
   3.19200E+03   6.70000E-02
   3.19400E+03   6.90000E-02
   3.19600E+03   7.20000E-02
   3.19800E+03   7.40000E-02
   3.20000E+03   7.70000E-02
   3.20200E+03   7.90000E-02
   3.20400E+03   8.20000E-02
