# Filter  74: IRAS 100 micron, Neugebauer etal 1984,ApJL,278,L1
#   32 data points. Lines 118 to 149
   6.58169E+05   0.00000E+00
   6.73964E+05   1.02000E-02
   6.90137E+05   2.04100E-02
   7.06699E+05   4.08200E-02
   7.23658E+05   6.12200E-02
   7.41024E+05   1.02040E-01
   7.58806E+05   1.22450E-01
   7.77016E+05   1.83670E-01
   7.95662E+05   2.44900E-01
   8.14756E+05   3.06120E-01
   8.34308E+05   3.87760E-01
   8.54329E+05   4.89800E-01
   8.74831E+05   5.91840E-01
   8.95824E+05   6.73470E-01
   9.17322E+05   7.34690E-01
   9.39336E+05   8.16330E-01
   9.61877E+05   8.77550E-01
   9.84960E+05   9.38780E-01
   1.00860E+06   9.59180E-01
   1.03280E+06   9.59180E-01
   1.05759E+06   9.48980E-01
   1.08296E+06   1.00000E+00
   1.10895E+06   9.79590E-01
   1.13556E+06   8.57140E-01
   1.16282E+06   4.08160E-01
   1.19072E+06   3.06120E-01
   1.21929E+06   3.26530E-01
   1.24855E+06   2.04080E-01
   1.27852E+06   1.42860E-01
   1.30920E+06   1.22450E-01
   1.34062E+06   8.16300E-02
   1.37279E+06   4.08200E-02
