# Filter  73: IRAS  60 micron, Neugebauer etal 1984,ApJL,278,L1
#   46 data points. Lines  70 to 115
   3.08158E+05   0.00000E+00
   3.15553E+05   1.02000E-02
   3.23126E+05   2.04100E-02
   3.30880E+05   3.06100E-02
   3.38820E+05   4.08200E-02
   3.46951E+05   5.10200E-02
   3.55277E+05   5.71400E-02
   3.63803E+05   6.12200E-02
   3.72533E+05   7.14300E-02
   3.81473E+05   9.18400E-02
   3.90627E+05   1.02040E-01
   4.00001E+05   1.22450E-01
   4.09600E+05   1.63270E-01
   4.12525E+05   2.44900E-01
   4.19430E+05   3.06120E-01
   4.29495E+05   3.87760E-01
   4.39801E+05   4.28570E-01
   4.50356E+05   4.79590E-01
   4.61163E+05   5.10200E-01
   4.72230E+05   5.40820E-01
   4.83562E+05   5.71430E-01
   4.95166E+05   5.91840E-01
   5.07049E+05   6.22450E-01
   5.19217E+05   6.53060E-01
   5.31677E+05   6.93880E-01
   5.44436E+05   7.14290E-01
   5.57501E+05   7.75510E-01
   5.70879E+05   8.16330E-01
   5.84579E+05   8.67350E-01
   5.98607E+05   9.18370E-01
   6.12972E+05   9.59180E-01
   6.27682E+05   9.79590E-01
   6.42745E+05   1.00000E+00
   6.58169E+05   1.01020E+00
   6.73964E+05   1.00000E+00
   6.90137E+05   9.79590E-01
   7.06699E+05   9.48980E-01
   7.23658E+05   8.97960E-01
   7.41024E+05   8.16330E-01
   7.58806E+05   7.55100E-01
   7.77016E+05   6.12250E-01
   7.95662E+05   4.08160E-01
   8.14756E+05   2.04080E-01
   8.34308E+05   1.02040E-01
   8.54329E+05   4.08200E-02
   8.74831E+05   0.00000E+00
