# Filter  33: Johnson's I filter
#   26 data points. Lines  28 to  53
   6.80000E+03   0.00000E+00
   7.00000E+03   1.00000E-02
   7.20000E+03   1.70000E-01
   7.40000E+03   3.60000E-01
   7.60000E+03   5.60000E-01
   7.80000E+03   7.60000E-01
   8.00000E+03   9.60000E-01
   8.20000E+03   9.80000E-01
   8.40000E+03   9.90000E-01
   8.60000E+03   1.00000E+00
   8.80000E+03   9.80000E-01
   9.00000E+03   9.30000E-01
   9.20000E+03   8.40000E-01
   9.40000E+03   7.10000E-01
   9.60000E+03   5.80000E-01
   9.80000E+03   4.70000E-01
   1.00000E+04   3.60000E-01
   1.02000E+04   2.80000E-01
   1.04000E+04   2.00000E-01
   1.06000E+04   1.50000E-01
   1.08000E+04   1.00000E-01
   1.10000E+04   8.00000E-02
   1.12000E+04   5.00000E-02
   1.14000E+04   3.00000E-02
   1.16000E+04   2.00000E-02
   1.20000E+04   0.00000E+00
