# Filter  34: Johnson's J filter
#   31 data points. Lines  56 to  86
   9.60000E+03   0.00000E+00
   9.80000E+03   2.00000E-02
   1.00000E+04   3.00000E-02
   1.02000E+04   6.00000E-02
   1.04000E+04   1.60000E-01
   1.06000E+04   3.50000E-01
   1.08000E+04   6.20000E-01
   1.10000E+04   9.30000E-01
   1.12000E+04   8.50000E-01
   1.14000E+04   7.80000E-01
   1.16000E+04   7.80000E-01
   1.18000E+04   8.00000E-01
   1.20000E+04   8.50000E-01
   1.22000E+04   9.30000E-01
   1.24000E+04   7.50000E-01
   1.26000E+04   6.40000E-01
   1.28000E+04   6.30000E-01
   1.30000E+04   6.30000E-01
   1.32000E+04   6.60000E-01
   1.34000E+04   6.80000E-01
   1.36000E+04   7.00000E-01
   1.38000E+04   7.00000E-01
   1.40000E+04   6.60000E-01
   1.42000E+04   6.00000E-01
   1.44000E+04   4.60000E-01
   1.46000E+04   2.70000E-01
   1.48000E+04   1.40000E-01
   1.50000E+04   9.00000E-02
   1.52000E+04   6.00000E-02
   1.54000E+04   2.00000E-02
   1.56000E+04   0.00000E+00
