# Filter  35: Johnson's K filter
#   17 data points. Lines  89 to 105
   1.80000E+04   0.00000E+00
   1.85000E+04   1.00000E-01
   1.90000E+04   4.80000E-01
   1.95000E+04   9.50000E-01
   2.00000E+04   1.00000E+00
   2.05000E+04   9.80000E-01
   2.10000E+04   9.60000E-01
   2.15000E+04   9.50000E-01
   2.20000E+04   9.70000E-01
   2.25000E+04   9.60000E-01
   2.30000E+04   9.40000E-01
   2.35000E+04   9.50000E-01
   2.40000E+04   9.50000E-01
   2.45000E+04   8.40000E-01
   2.50000E+04   4.60000E-01
   2.55000E+04   8.00000E-02
   2.60000E+04   0.00000E+00
