# Filter  32: Johnson's R filter
#   23 data points. Lines   3 to  25
   5.20000E+03   0.00000E+00
   5.40000E+03   6.00000E-02
   5.60000E+03   2.80000E-01
   5.80000E+03   5.00000E-01
   6.00000E+03   6.90000E-01
   6.20000E+03   7.90000E-01
   6.40000E+03   8.80000E-01
   6.60000E+03   9.40000E-01
   6.80000E+03   9.80000E-01
   7.00000E+03   1.00000E+00
   7.20000E+03   9.40000E-01
   7.40000E+03   8.50000E-01
   7.60000E+03   7.30000E-01
   7.80000E+03   5.70000E-01
   8.00000E+03   4.20000E-01
   8.20000E+03   3.10000E-01
   8.40000E+03   1.70000E-01
   8.60000E+03   1.10000E-01
   8.80000E+03   6.00000E-02
   9.00000E+03   4.00000E-02
   9.20000E+03   2.00000E-02
   9.40000E+03   1.00000E-02
   9.60000E+03   0.00000E+00
