# Filter 150: MOSAIC B filter (F. Lamareille)
#  250 data points. Lines   3 to 252
   3.51000E+03   5.00000E-04
   3.52000E+03   1.00000E-03
   3.53000E+03   1.70000E-03
   3.54000E+03   2.60000E-03
   3.55000E+03   4.00000E-03
   3.56000E+03   5.90000E-03
   3.57000E+03   8.30000E-03
   3.58000E+03   1.13000E-02
   3.59000E+03   1.49000E-02
   3.60000E+03   1.94000E-02
   3.61000E+03   2.45000E-02
   3.62000E+03   3.05000E-02
   3.63000E+03   3.71000E-02
   3.64000E+03   4.46000E-02
   3.65000E+03   5.28000E-02
   3.66000E+03   6.18000E-02
   3.67000E+03   7.16000E-02
   3.68000E+03   8.20000E-02
   3.69000E+03   9.29000E-02
   3.70000E+03   1.04700E-01
   3.71000E+03   1.17000E-01
   3.72000E+03   1.29800E-01
   3.73000E+03   1.42900E-01
   3.74000E+03   1.56900E-01
   3.75000E+03   1.70900E-01
   3.76000E+03   1.85500E-01
   3.77000E+03   2.00400E-01
   3.78000E+03   2.15500E-01
   3.79000E+03   2.31100E-01
   3.80000E+03   2.46800E-01
   3.81000E+03   2.62500E-01
   3.82000E+03   2.78100E-01
   3.83000E+03   2.93700E-01
   3.84000E+03   3.09600E-01
   3.85000E+03   3.25400E-01
   3.86000E+03   3.40900E-01
   3.87000E+03   3.56600E-01
   3.88000E+03   3.71800E-01
   3.89000E+03   3.86900E-01
   3.90000E+03   4.01700E-01
   3.91000E+03   4.16200E-01
   3.92000E+03   4.30100E-01
   3.93000E+03   4.43800E-01
   3.94000E+03   4.57100E-01
   3.95000E+03   4.69900E-01
   3.96000E+03   4.82600E-01
   3.97000E+03   4.94600E-01
   3.98000E+03   5.06200E-01
   3.99000E+03   5.17100E-01
   4.00000E+03   5.28300E-01
   4.01000E+03   5.38300E-01
   4.02000E+03   5.48100E-01
   4.03000E+03   5.57400E-01
   4.04000E+03   5.66500E-01
   4.05000E+03   5.74900E-01
   4.06000E+03   5.83700E-01
   4.07000E+03   5.91700E-01
   4.08000E+03   5.98900E-01
   4.09000E+03   6.06300E-01
   4.10000E+03   6.13000E-01
   4.11000E+03   6.19600E-01
   4.12000E+03   6.25400E-01
   4.13000E+03   6.31200E-01
   4.14000E+03   6.36900E-01
   4.15000E+03   6.42200E-01
   4.16000E+03   6.47000E-01
   4.17000E+03   6.52100E-01
   4.18000E+03   6.56600E-01
   4.19000E+03   6.61000E-01
   4.20000E+03   6.65200E-01
   4.21000E+03   6.68900E-01
   4.22000E+03   6.72000E-01
   4.23000E+03   6.75000E-01
   4.24000E+03   6.77300E-01
   4.25000E+03   6.79900E-01
   4.26000E+03   6.81600E-01
   4.27000E+03   6.83900E-01
   4.28000E+03   6.85600E-01
   4.29000E+03   6.87200E-01
   4.30000E+03   6.88600E-01
   4.31000E+03   6.90000E-01
   4.32000E+03   6.90800E-01
   4.33000E+03   6.91200E-01
   4.34000E+03   6.91700E-01
   4.35000E+03   6.92400E-01
   4.36000E+03   6.92700E-01
   4.37000E+03   6.92900E-01
   4.38000E+03   6.92800E-01
   4.39000E+03   6.92700E-01
   4.40000E+03   6.92700E-01
   4.41000E+03   6.92000E-01
   4.42000E+03   6.91500E-01
   4.43000E+03   6.91100E-01
   4.44000E+03   6.90000E-01
   4.45000E+03   6.88500E-01
   4.46000E+03   6.86500E-01
   4.47000E+03   6.84100E-01
   4.48000E+03   6.81800E-01
   4.49000E+03   6.79100E-01
   4.50000E+03   6.75900E-01
   4.51000E+03   6.73500E-01
   4.52000E+03   6.70500E-01
   4.53000E+03   6.67900E-01
   4.54000E+03   6.65000E-01
   4.55000E+03   6.61800E-01
   4.56000E+03   6.58100E-01
   4.57000E+03   6.54500E-01
   4.58000E+03   6.49900E-01
   4.59000E+03   6.45300E-01
   4.60000E+03   6.40100E-01
   4.61000E+03   6.34500E-01
   4.62000E+03   6.28600E-01
   4.63000E+03   6.21700E-01
   4.64000E+03   6.14400E-01
   4.65000E+03   6.06400E-01
   4.66000E+03   5.97500E-01
   4.67000E+03   5.87800E-01
   4.68000E+03   5.77400E-01
   4.69000E+03   5.66400E-01
   4.70000E+03   5.54900E-01
   4.71000E+03   5.42800E-01
   4.72000E+03   5.30600E-01
   4.73000E+03   5.18000E-01
   4.74000E+03   5.05400E-01
   4.75000E+03   4.92500E-01
   4.76000E+03   4.79000E-01
   4.77000E+03   4.66000E-01
   4.78000E+03   4.52500E-01
   4.79000E+03   4.38700E-01
   4.80000E+03   4.24600E-01
   4.81000E+03   4.10300E-01
   4.82000E+03   3.96100E-01
   4.83000E+03   3.81600E-01
   4.84000E+03   3.67200E-01
   4.85000E+03   3.52900E-01
   4.86000E+03   3.39000E-01
   4.87000E+03   3.25300E-01
   4.88000E+03   3.12100E-01
   4.89000E+03   2.99100E-01
   4.90000E+03   2.86500E-01
   4.91000E+03   2.74800E-01
   4.92000E+03   2.63400E-01
   4.93000E+03   2.52500E-01
   4.94000E+03   2.42400E-01
   4.95000E+03   2.32800E-01
   4.96000E+03   2.23800E-01
   4.97000E+03   2.15400E-01
   4.98000E+03   2.07400E-01
   4.99000E+03   1.99300E-01
   5.00000E+03   1.91200E-01
   5.01000E+03   1.82800E-01
   5.02000E+03   1.74100E-01
   5.03000E+03   1.64900E-01
   5.04000E+03   1.55500E-01
   5.05000E+03   1.45900E-01
   5.06000E+03   1.36700E-01
   5.07000E+03   1.27900E-01
   5.08000E+03   1.19600E-01
   5.09000E+03   1.11800E-01
   5.10000E+03   1.04700E-01
   5.11000E+03   9.81000E-02
   5.12000E+03   9.19000E-02
