# Filter 222: MUSYC U at 0.346um [added May 2010]
#  249 data points. Lines   3 to 251
   3.00000E+03   0.00000E+00
   3.00500E+03   3.41198E-05
   3.01000E+03   1.35569E-04
   3.01500E+03   3.28316E-04
   3.02000E+03   6.34533E-04
   3.02500E+03   1.06915E-03
   3.03000E+03   1.63957E-03
   3.03500E+03   2.35265E-03
   3.04000E+03   3.21362E-03
   3.04500E+03   4.23185E-03
   3.05000E+03   5.41446E-03
   3.05500E+03   6.77874E-03
   3.06000E+03   8.31107E-03
   3.06500E+03   1.00034E-02
   3.07000E+03   1.18368E-02
   3.07500E+03   1.37781E-02
   3.08000E+03   1.58118E-02
   3.08500E+03   1.79682E-02
   3.09000E+03   2.02883E-02
   3.09500E+03   2.27736E-02
   3.10000E+03   2.56315E-02
   3.10500E+03   2.87173E-02
   3.11000E+03   3.21854E-02
   3.11500E+03   3.60531E-02
   3.12000E+03   4.02306E-02
   3.12500E+03   4.45992E-02
   3.13000E+03   4.89653E-02
   3.13500E+03   5.32515E-02
   3.14000E+03   5.75719E-02
   3.14500E+03   6.17001E-02
   3.15000E+03   6.59475E-02
   3.15500E+03   7.02293E-02
   3.16000E+03   7.47800E-02
   3.16500E+03   7.98584E-02
   3.17000E+03   8.52521E-02
   3.17500E+03   9.10464E-02
   3.18000E+03   9.74157E-02
   3.18500E+03   1.04117E-01
   3.19000E+03   1.11008E-01
   3.19500E+03   1.17995E-01
   3.20000E+03   1.25352E-01
   3.20500E+03   1.27968E-01
   3.21000E+03   1.30649E-01
   3.21500E+03   1.33250E-01
   3.22000E+03   1.35875E-01
   3.22500E+03   1.38478E-01
   3.23000E+03   1.41117E-01
   3.23500E+03   1.43668E-01
   3.24000E+03   1.45966E-01
   3.24500E+03   1.48152E-01
   3.25000E+03   1.50131E-01
   3.25500E+03   1.51875E-01
   3.26000E+03   1.53230E-01
   3.26500E+03   1.54629E-01
   3.27000E+03   1.55989E-01
   3.27500E+03   1.57437E-01
   3.28000E+03   1.59079E-01
   3.28500E+03   1.60878E-01
   3.29000E+03   1.62611E-01
   3.29500E+03   1.64691E-01
   3.30000E+03   1.66720E-01
   3.30500E+03   1.68230E-01
   3.31000E+03   1.69554E-01
   3.31500E+03   1.70703E-01
   3.32000E+03   1.71636E-01
   3.32500E+03   1.72235E-01
   3.33000E+03   1.72339E-01
   3.33500E+03   1.72158E-01
   3.34000E+03   1.71501E-01
   3.34500E+03   1.70569E-01
   3.35000E+03   1.69588E-01
   3.35500E+03   1.68307E-01
   3.36000E+03   1.67014E-01
   3.36500E+03   1.66052E-01
   3.37000E+03   1.65139E-01
   3.37500E+03   1.64998E-01
   3.38000E+03   1.65142E-01
   3.38500E+03   1.65879E-01
   3.39000E+03   1.67002E-01
   3.39500E+03   1.68590E-01
   3.40000E+03   1.70175E-01
   3.40500E+03   1.72488E-01
   3.41000E+03   1.74893E-01
   3.41500E+03   1.77270E-01
   3.42000E+03   1.79321E-01
   3.42500E+03   1.81358E-01
   3.43000E+03   1.83219E-01
   3.43500E+03   1.84743E-01
   3.44000E+03   1.86160E-01
   3.44500E+03   1.87514E-01
   3.45000E+03   1.88696E-01
   3.45500E+03   1.89727E-01
   3.46000E+03   1.91118E-01
   3.46500E+03   1.92305E-01
   3.47000E+03   1.93678E-01
   3.47500E+03   1.95003E-01
   3.48000E+03   1.96529E-01
   3.48500E+03   1.97776E-01
   3.49000E+03   1.99088E-01
   3.49500E+03   2.00364E-01
   3.50000E+03   2.01348E-01
   3.50500E+03   2.02107E-01
   3.51000E+03   2.02656E-01
   3.51500E+03   2.02996E-01
   3.52000E+03   2.03268E-01
   3.52500E+03   2.03308E-01
   3.53000E+03   2.03315E-01
   3.53500E+03   2.03435E-01
   3.54000E+03   2.03268E-01
   3.54500E+03   2.03203E-01
   3.55000E+03   2.03099E-01
   3.55500E+03   2.02889E-01
