# microns              throughput              
  20004.663860000004   4.069912520896999E-12   
  20020.74478          4.140071061700245E-12   
  20036.8257           3.9742965081376935E-12  
  20052.90662          3.5799603101893826E-12  
  20068.98754          3.266836624094577E-12   
  20085.06846          2.971153285387233E-12   
  20101.14938          2.616111780388789E-12   
  20117.230300000003   2.2907692783613534E-12  
  20133.31122          2.0921583796164923E-12  
  20149.39214          2.0288055902380466E-12  
  20165.47306          2.0403768938138143E-12  
  20181.55398          2.0887089640370903E-12  
  20197.634899999997   2.0509277583826677E-12  
  20213.71582          2.0528372209956905E-12  
  20229.79674          2.131449060908144E-12   
  20245.877660000002   2.1228930304724805E-12  
  20261.95858          2.031701181899639E-12   
  20278.03949          1.916964313512468E-12   
  20294.12041          1.903539730995302E-12   
  20310.201330000004   1.8962584115507906E-12  
  20326.28225          1.856678535547357E-12   
  20342.36317          1.824504024843112E-12   
  20358.44409          1.885343014669233E-12   
  20374.52501          1.955143623550605E-12   
  20390.605929999998   2.0205114178850204E-12  
  20406.68685          2.0834425537016673E-12  
  20422.767770000002   2.055795679809992E-12   
  20438.84869          2.0391169346603885E-12  
  20454.92961          2.0780255896071167E-12  
  20471.01053          2.0771717678266113E-12  
  20487.091449999996   1.9934631333192592E-12  
  20503.172370000004   1.9583005792079633E-12  
  20519.253290000004   2.0303552673515443E-12  
  20535.33421          2.1196909833276364E-12  
  20551.41513          2.0929349160199767E-12  
  20567.496049999998   2.1174148074003385E-12  
  20583.57697          2.3029115280607827E-12  
  20599.65788          2.5919215794559394E-12  
  20615.7388           2.851702905263991E-12   
  20631.819719999996   3.1105536172406702E-12  
  20647.90064          3.383889494477094E-12   
  20663.98156          3.767204544677261E-12   
  20680.06248          4.305078941715732E-12   
  20696.1434           4.816284820853419E-12   
  20712.224319999998   5.079802517659642E-12   
  20728.30524          5.348023648385612E-12   
  20744.386160000002   5.875605479046894E-12   
  20760.46708          6.434765014227035E-12   
  20776.548            6.434150872065283E-12   
  20792.62892          6.2264081231665066E-12  
  20808.709840000003   6.0916526897781464E-12  
  20824.790760000004   6.24827215526111E-12    
  20840.87168          6.057380637942791E-12   
  20856.9526           5.6516514365868274E-12  
  20873.033519999997   5.0536694807793735E-12  
  20889.114439999998   5.2405802085821055E-12  
  20905.195359999998   6.143581151667344E-12   
  20921.27627          7.2016379407353425E-12  
  20937.357189999995   7.494481956635446E-12   
  20953.438110000003   6.661167636436762E-12   
  20969.519030000003   6.988596400333878E-12   
  20985.59995          8.04347557093066E-12    
  21001.68087          8.375026309341182E-12   
  21017.761789999997   5.7664807624651125E-12  
  21033.84271          3.5133412289941356E-12  
  21049.92363          1.5993272510298393E-12  
  21066.004549999998   1.513545046725776E-12   
  21082.08547          1.6608671915983023E-12  
  21098.16639          1.699690800878109E-12   
  21114.24731          9.664355755799703E-13   
  21130.328230000003   2.4264356897688076E-12  
  21146.40915          2.708453811125522E-12   
  21162.49007          2.849134601430158E-12   
  21178.570989999997   2.875248891996337E-12   
  21194.651909999997   3.3823505369340553E-12  
  21210.732830000004   5.04152586078439E-12    
  21226.81375          7.530877594968504E-12   
  21242.89466          8.328831976985913E-12   
  21258.975580000002   6.298126413355314E-12   
  21275.056500000002   6.044443622471308E-12   
  21291.13742          6.235016266264876E-12   
  21307.21834          7.196877847476318E-12   
  21323.299259999996   6.410905868906966E-12   
  21339.380179999996   4.87058478021415E-12    
  21355.461100000004   2.706601691412587E-12   
  21371.54202          1.7496892266867351E-12  
  21387.62294          1.60379569209123E-12    
  21403.703859999998   1.5308835302979218E-12  
  21419.784779999998   1.186310173203372E-12   
  21435.865700000002   1.6946395854942683E-13  
  21451.94662          1.1769481553737977E-13  
  21468.02754          1.1674887202900507E-13  
  21484.108460000003   1.1644008654413823E-13  
  21500.18938          1.1641130713806793E-13  
  21516.270300000004   1.1670514707980535E-13  
  21532.35122          1.173236440487439E-13   
  21548.43214          1.180311502877435E-13   
  21564.51305          1.1922732108489818E-13  
  21580.59397          1.2037113931120227E-13  
  21596.67489          1.2212010319041618E-13  
  21612.75581          1.2427047770375624E-13  
  21628.836729999995   1.2624720230536364E-13  
  21644.917650000003   1.287729507580777E-13   
  21660.998570000003   1.3161716608249538E-13  
  21677.07949          1.3479240951604333E-13  
  21693.16041          1.3830081290062168E-13  
  21709.24133          1.4184269321818074E-13  
  21725.322249999997   1.4626403424996977E-13  
  21741.40317          1.5095654848623375E-13  
  21757.484089999998   1.5613866999317268E-13  
  21773.565010000002   1.6269774179135754E-13  
  21789.645930000002   2.309105351638115E-13   
  21805.72685          1.2572268976423875E-12  
  21821.807770000003   1.5230221347241989E-12  
  21837.88869          1.6057835768404689E-12  
  21853.96961          1.6983036804093822E-12  
  21870.05053          1.9623557573924155E-12  
  21886.131449999997   2.9298258018837757E-12  
  21902.212359999998   3.1686753887026115E-12  
  21918.293279999998   3.270966989426825E-12   
