# microns              throughput
  34010.49531          7.719211065188447E-6    
  34024.00763          7.967246085677824E-6    
  34037.519940000006   8.186576588717175E-6    
  34051.03225          8.302046017486672E-6    
  34064.54457          8.323113761044037E-6    
  34078.05688          8.356376655562885E-6    
  34091.5692           8.406380408297163E-6    
  34105.08151          8.305886729466417E-6    
  34118.59383          8.306883050173358E-6    
  34132.10614          8.082918552263573E-6    
  34145.618460000005   7.78617128252426E-6     
  34159.13077          7.4554774030648415E-6   
  34172.643079999994   7.1932835035180625E-6   
  34186.155399999996   7.233038430333097E-6    
  34199.66771          7.178851988619524E-6    
  34213.180029999996   7.059259201626706E-6    
  34226.69234          6.6911755169422014E-6   
  34240.20466          6.381346233128634E-6    
  34253.71697          6.315638526393498E-6    
  34267.22928          6.559976756345564E-6    
  34280.7416           6.810607575743262E-6    
  34294.25391          6.73712765599992E-6     
  34307.76623          6.528074464572995E-6    
  34321.27854          6.520199285506483E-6    
  34334.79086          6.923399536923959E-6    
  34348.30317          7.429352122582651E-6    
  34361.81549          7.568645198447877E-6    
  34375.3278           7.50159321759377E-6     
  34388.840110000005   7.5446699912497545E-6   
  34402.35243          7.58397509902033E-6     
  34415.864740000005   7.700281412956972E-6    
  34429.377060000006   7.5832477686619225E-6   
  34442.88937          7.215282806292822E-6    
  34456.40169          6.760034925594455E-6    
  34469.914            6.357187966560116E-6    
  34483.42631          5.8886559797705574E-6   
  34496.93863          5.420402819722944E-6    
  34510.45094          5.211520036188636E-6    
  34523.963260000004   5.0523805528495E-6      
  34537.47557          5.023861930495301E-6    
  34550.98789          5.20296240583767E-6     
  34564.5002           5.482114852914957E-6    
  34578.012520000004   5.829113099347884E-6    
  34591.52483          6.11120499999021E-6     
  34605.03714          6.317744278081703E-6    
  34618.54946          6.61885620683135E-6     
  34632.06177          6.788341885171463E-6    
  34645.57409          6.837707522921141E-6    
  34659.0864           6.61637646236564E-6     
  34672.59872          6.394611852696042E-6    
  34686.11103          6.24222930071441E-6     
  34699.62335          6.0884340775164596E-6   
  34713.13566          5.8444512965070585E-6   
  34726.64797          5.399184354649889E-6    
  34740.16029          5.456946008904398E-6    
  34753.6726           5.715075301761409E-6    
  34767.18492          5.9158271038302066E-6   
  34780.69723          5.906107303145582E-6    
  34794.20955          5.7608893738964485E-6   
  34807.721860000005   5.839201506344852E-6    
  34821.234169999996   6.087872076136609E-6    
  34834.746490000005   6.204646236004046E-6    
  34848.258799999996   6.212013390168444E-6    
  34861.77112          6.275026706290921E-6    
  34875.28343          6.497240630655794E-6    
  34888.79575          6.691896171789321E-6    
  34902.30806          6.799359341586968E-6    
  34915.820380000005   6.922689739672646E-6    
  34929.332689999996   7.078213238577118E-6    
  34942.845            7.1665625566959335E-6   
  34956.35732          6.658213641170005E-6    
  34969.86963          6.005698607908114E-6    
  34983.381949999995   5.500546465471335E-6    
  34996.89426          5.3203774834476684E-6   
  35010.40658          5.240181499654883E-6    
  35023.91889          5.0654718133999784E-6   
  35037.4312           4.817174626440359E-6    
  35050.94352          4.798257796953799E-6    
  35064.45583          4.9418813199932916E-6   
  35077.96815          5.3880618892492135E-6   
  35091.48046          5.793858593042977E-6    
  35104.99278          5.846113423962895E-6    
  35118.50509          5.660429008319813E-6    
  35132.01741          5.39758747920184E-6     
  35145.52972          5.104095050109991E-6    
  35159.04203          4.783895797720335E-6    
  35172.55435          4.744574477637454E-6    
  35186.066660000004   4.817436644137359E-6    
  35199.57898          4.936253281433819E-6    
  35213.091290000004   5.05095933201869E-6     
  35226.603610000006   5.407546004714592E-6    
  35240.11592          5.73404561402422E-6     
  35253.62824          5.94907624997413E-6     
  35267.14055          6.077703461557848E-6    
  35280.65286          6.2746906764794265E-6   
  35294.16518          6.288544787258608E-6    
  35307.67749          6.104507764276272E-6    
  35321.18981          6.150215620347268E-6    
  35334.70212          6.256387806780562E-6    
  35348.21444          6.294756072700339E-6    
  35361.72675          6.333823498070907E-6    
  35375.23906          6.4351375641097356E-6   
  35388.75138          6.551080363792117E-6    
  35402.26369          6.698302979391871E-6    
  35415.776009999994   6.937064083401796E-6    
  35429.28832          6.968346507878878E-6    
  35442.80064          6.887386243696417E-6    
  35456.31295          6.948619317746933E-6    
  35469.82527          7.156014588410841E-6    
  35483.33758          7.35743422113066E-6     
  35496.84989          7.548061938677136E-6    
  35510.36221          7.5850474308637895E-6   
  35523.87452          7.490379959089504E-6    
  35537.38684          7.491576298066335E-6    
  35550.89915          7.654097281607659E-6    
  35564.41147          7.883343069239831E-6    
  35577.923780000005   8.049826865275047E-6    
  35591.43609          8.16570433677515E-6     
  35604.948410000005   8.357198045138528E-6    
  35618.460719999995   8.544849949928045E-6    
  35631.97304          8.727389108698282E-6    
  35645.485349999995   8.88979885544383E-6     
  35658.99767          9.01607465073944E-6     
