# Filter  26: OAO-UV1 filter (OAO-2 Observatory)
#   33 data points. Lines   3 to  35
   1.28000E+03   4.00000E-02
   1.30000E+03   7.00000E-02
   1.32000E+03   1.20000E-01
   1.34000E+03   1.60000E-01
   1.36000E+03   2.20000E-01
   1.38000E+03   3.00000E-01
   1.40000E+03   4.40000E-01
   1.42000E+03   5.80000E-01
   1.44000E+03   7.60000E-01
   1.46000E+03   9.20000E-01
   1.48000E+03   9.80000E-01
   1.50000E+03   9.95000E-01
   1.52000E+03   1.00000E+00
   1.54000E+03   1.00000E+00
   1.56000E+03   9.93000E-01
   1.58000E+03   9.90000E-01
   1.60000E+03   9.60000E-01
   1.62000E+03   8.80000E-01
   1.64000E+03   7.80000E-01
   1.66000E+03   6.20000E-01
   1.68000E+03   5.00000E-01
   1.70000E+03   4.00000E-01
   1.72000E+03   3.20000E-01
   1.74000E+03   2.60000E-01
   1.76000E+03   2.00000E-01
   1.78000E+03   1.50000E-01
   1.80000E+03   1.10000E-01
   1.82000E+03   9.00000E-02
   1.84000E+03   7.00000E-02
   1.86000E+03   5.00000E-02
   1.88000E+03   3.40000E-02
   1.90000E+03   2.00000E-02
   1.92000E+03   1.00000E-02
