# Filter  27: OAO-UV2 filter (OAO-2 Observatory)
#   47 data points. Lines  38 to  84
   1.58000E+03   3.00000E-02
   1.60000E+03   5.00000E-02
   1.62000E+03   8.00000E-02
   1.64000E+03   1.20000E-01
   1.66000E+03   1.60000E-01
   1.68000E+03   2.00000E-01
   1.70000E+03   2.60000E-01
   1.72000E+03   3.30000E-01
   1.74000E+03   4.20000E-01
   1.76000E+03   5.20000E-01
   1.78000E+03   7.00000E-01
   1.80000E+03   8.30000E-01
   1.82000E+03   9.20000E-01
   1.84000E+03   9.80000E-01
   1.86000E+03   1.00000E+00
   1.88000E+03   9.90000E-01
   1.90000E+03   9.60000E-01
   1.92000E+03   8.60000E-01
   1.94000E+03   7.70000E-01
   1.96000E+03   6.90000E-01
   1.98000E+03   6.20000E-01
   2.00000E+03   5.70000E-01
   2.02000E+03   5.10000E-01
   2.04000E+03   4.50000E-01
   2.06000E+03   4.00000E-01
   2.08000E+03   3.60000E-01
   2.10000E+03   3.20000E-01
   2.12000E+03   2.80000E-01
   2.14000E+03   2.40000E-01
   2.16000E+03   2.00000E-01
   2.18000E+03   1.60000E-01
   2.20000E+03   1.20000E-01
   2.22000E+03   1.00000E-01
   2.24000E+03   8.00000E-02
   2.26000E+03   6.00000E-02
   2.28000E+03   5.00000E-02
   2.30000E+03   4.00000E-02
   2.32000E+03   3.00000E-02
   2.34000E+03   2.50000E-02
   2.36000E+03   2.00000E-02
   2.38000E+03   2.00000E-02
   2.40000E+03   2.00000E-02
   2.42000E+03   1.90000E-02
   2.44000E+03   1.80000E-02
   2.46000E+03   1.70000E-02
   2.48000E+03   1.50000E-02
   2.50000E+03   1.00000E-02
