# Filter  28: OAO-UV3 filter (OAO-2 Observatory)
#   59 data points. Lines  87 to 145
   1.86000E+03   4.00000E-02
   1.88000E+03   4.00000E-02
   1.90000E+03   5.00000E-02
   1.92000E+03   5.50000E-02
   1.94000E+03   6.00000E-02
   1.96000E+03   6.30000E-02
   1.98000E+03   7.00000E-02
   2.00000E+03   8.00000E-02
   2.02000E+03   9.00000E-02
   2.04000E+03   1.00000E-01
   2.06000E+03   1.10000E-01
   2.08000E+03   1.20000E-01
   2.10000E+03   1.40000E-01
   2.12000E+03   1.60000E-01
   2.14000E+03   1.80000E-01
   2.16000E+03   2.00000E-01
   2.18000E+03   2.30000E-01
   2.20000E+03   2.70000E-01
   2.22000E+03   3.00000E-01
   2.24000E+03   3.50000E-01
   2.26000E+03   4.00000E-01
   2.28000E+03   4.70000E-01
   2.30000E+03   5.60000E-01
   2.32000E+03   6.40000E-01
   2.34000E+03   7.40000E-01
   2.36000E+03   8.40000E-01
   2.38000E+03   9.00000E-01
   2.40000E+03   9.40000E-01
   2.42000E+03   9.70000E-01
   2.44000E+03   9.90000E-01
   2.46000E+03   1.00000E+00
   2.48000E+03   9.90000E-01
   2.50000E+03   9.70000E-01
   2.52000E+03   9.40000E-01
   2.54000E+03   8.90000E-01
   2.56000E+03   8.30000E-01
   2.58000E+03   7.60000E-01
   2.60000E+03   6.90000E-01
   2.62000E+03   6.00000E-01
   2.64000E+03   5.40000E-01
   2.66000E+03   4.80000E-01
   2.68000E+03   4.20000E-01
   2.70000E+03   3.80000E-01
   2.72000E+03   3.40000E-01
   2.74000E+03   3.00000E-01
   2.76000E+03   2.60000E-01
   2.78000E+03   2.20000E-01
   2.80000E+03   1.99000E-01
   2.82000E+03   1.60000E-01
   2.84000E+03   1.40000E-01
   2.86000E+03   1.20000E-01
   2.88000E+03   1.00000E-01
   2.90000E+03   8.00000E-02
   2.92000E+03   6.00000E-02
   2.94000E+03   5.00000E-02
   2.96000E+03   4.00000E-02
   2.98000E+03   3.00000E-02
   3.00000E+03   2.00000E-02
   3.02000E+03   1.00000E-02
