# Filter  29: OAO-UV4 filter (OAO-2 Observatory)
#   68 data points. Lines 148 to 215
   2.34000E+03   1.00000E-02
   2.36000E+03   1.50000E-02
   2.38000E+03   2.00000E-02
   2.40000E+03   2.40000E-02
   2.42000E+03   2.80000E-02
   2.44000E+03   3.20000E-02
   2.46000E+03   3.80000E-02
   2.48000E+03   4.00000E-02
   2.50000E+03   4.40000E-02
   2.52000E+03   5.00000E-02
   2.54000E+03   6.00000E-02
   2.56000E+03   7.00000E-02
   2.58000E+03   8.00000E-02
   2.60000E+03   9.70000E-02
   2.62000E+03   1.20000E-01
   2.64000E+03   1.40000E-01
   2.66000E+03   1.70000E-01
   2.68000E+03   2.00000E-01
   2.70000E+03   2.45000E-01
   2.72000E+03   3.15000E-01
   2.74000E+03   4.00000E-01
   2.76000E+03   4.90000E-01
   2.78000E+03   5.90000E-01
   2.80000E+03   7.00000E-01
   2.82000E+03   8.00000E-01
   2.84000E+03   8.70000E-01
   2.86000E+03   9.40000E-01
   2.88000E+03   9.80000E-01
   2.90000E+03   9.95000E-01
   2.92000E+03   1.00000E+00
   2.94000E+03   1.00000E+00
   2.96000E+03   9.95000E-01
   2.98000E+03   9.80000E-01
   3.00000E+03   9.60000E-01
   3.02000E+03   9.30000E-01
   3.04000E+03   8.80000E-01
   3.06000E+03   8.30000E-01
   3.08000E+03   7.80000E-01
   3.10000E+03   7.20000E-01
   3.12000E+03   6.60000E-01
   3.14000E+03   6.00000E-01
   3.16000E+03   5.40000E-01
   3.18000E+03   4.80000E-01
   3.20000E+03   4.20000E-01
   3.22000E+03   3.80000E-01
   3.24000E+03   3.30000E-01
   3.26000E+03   2.80000E-01
   3.28000E+03   2.50000E-01
   3.30000E+03   2.20000E-01
   3.32000E+03   1.90000E-01
   3.34000E+03   1.70000E-01
   3.36000E+03   1.50000E-01
   3.38000E+03   1.30000E-01
   3.40000E+03   1.10000E-01
   3.42000E+03   1.00000E-01
   3.44000E+03   8.50000E-02
   3.46000E+03   7.50000E-02
   3.48000E+03   6.80000E-02
   3.50000E+03   6.00000E-02
   3.52000E+03   5.50000E-02
   3.54000E+03   5.00000E-02
   3.56000E+03   4.50000E-02
   3.58000E+03   4.10000E-02
   3.60000E+03   3.90000E-02
   3.62000E+03   3.60000E-02
   3.64000E+03   3.20000E-02
   3.66000E+03   3.10000E-02
   3.68000E+03   3.00000E-02
