# Filter  22: ST-UV14 filter (STFOC)
#   33 data points. Lines   3 to  35
   1.01000E+03   2.00000E-05
   1.03500E+03   1.80000E-04
   1.06000E+03   3.80000E-04
   1.08500E+03   3.70000E-04
   1.11000E+03   1.50000E-04
   1.13500E+03   1.86900E-02
   1.16000E+03   5.08700E-02
   1.18500E+03   7.23300E-02
   1.21000E+03   9.86600E-02
   1.23500E+03   1.29750E-01
   1.26000E+03   1.64020E-01
   1.28500E+03   1.99580E-01
   1.31000E+03   2.33750E-01
   1.33500E+03   2.63240E-01
   1.36000E+03   2.85570E-01
   1.38500E+03   2.97700E-01
   1.41000E+03   2.99080E-01
   1.43500E+03   2.88680E-01
   1.46000E+03   2.68510E-01
   1.48500E+03   2.40030E-01
   1.51000E+03   2.06650E-01
   1.53500E+03   1.71130E-01
   1.56000E+03   1.36340E-01
   1.58500E+03   1.04610E-01
   1.61000E+03   7.71100E-02
   1.63500E+03   5.48400E-02
   1.66000E+03   3.73800E-02
   1.68500E+03   2.46500E-02
   1.71000E+03   1.55400E-02
   1.73500E+03   9.50000E-03
   1.76000E+03   5.54000E-03
   1.78500E+03   3.14000E-03
   1.81000E+03   0.00000E+00
