# Filter  23: ST-UV17 filter (STFOC)
#   42 data points. Lines  38 to  79
   1.24000E+03   3.00000E-05
   1.26500E+03   1.90000E-04
   1.29000E+03   3.40000E-04
   1.31500E+03   1.13300E-02
   1.34000E+03   1.62900E-02
   1.36500E+03   2.30400E-02
   1.39000E+03   3.17500E-02
   1.41500E+03   4.29600E-02
   1.44000E+03   5.67400E-02
   1.46500E+03   7.34800E-02
   1.49000E+03   9.29800E-02
   1.51500E+03   1.15260E-01
   1.54000E+03   1.39710E-01
   1.56500E+03   1.65800E-01
   1.59000E+03   1.92510E-01
   1.61500E+03   2.18720E-01
   1.64000E+03   2.43250E-01
   1.66500E+03   2.64610E-01
   1.69000E+03   2.81860E-01
   1.71500E+03   2.93580E-01
   1.74000E+03   2.99480E-01
   1.76500E+03   2.98700E-01
   1.79000E+03   2.91800E-01
   1.81500E+03   2.78720E-01
   1.84000E+03   2.60710E-01
   1.86500E+03   2.38500E-01
   1.89000E+03   2.13610E-01
   1.91500E+03   1.87160E-01
   1.94000E+03   1.60490E-01
   1.96500E+03   1.34700E-01
   1.99000E+03   1.10570E-01
   2.01500E+03   8.89000E-02
   2.04000E+03   6.98600E-02
   2.06500E+03   5.38100E-02
   2.09000E+03   4.04700E-02
   2.11500E+03   2.98700E-02
   2.14000E+03   2.15000E-02
   2.16500E+03   1.52000E-02
   2.19000E+03   1.04700E-02
   2.21500E+03   7.10000E-03
   2.24000E+03   4.68000E-03
   2.26500E+03   0.00000E+00
