# Filter  24: ST-UV22 filter (STFOC)
#   53 data points. Lines  82 to 134
   1.56000E+03   3.73000E-03
   1.58500E+03   5.31000E-03
   1.61000E+03   7.42000E-03
   1.63500E+03   1.02000E-02
   1.66000E+03   1.37900E-02
   1.68500E+03   1.85500E-02
   1.71000E+03   2.45300E-02
   1.73500E+03   3.19100E-02
   1.76000E+03   4.08900E-02
   1.78500E+03   5.19500E-02
   1.81000E+03   6.49600E-02
   1.83500E+03   8.00000E-02
   1.86000E+03   9.71100E-02
   1.88500E+03   1.16570E-01
   1.91000E+03   1.37850E-01
   1.93500E+03   1.60710E-01
   1.96000E+03   1.84770E-01
   1.98500E+03   2.09620E-01
   2.01000E+03   2.34480E-01
   2.03500E+03   2.58710E-01
   2.06000E+03   2.81620E-01
   2.08500E+03   3.02070E-01
   2.11000E+03   3.19640E-01
   2.13500E+03   3.33730E-01
   2.16000E+03   3.43840E-01
   2.18500E+03   3.48840E-01
   2.21000E+03   3.49230E-01
   2.23500E+03   3.45000E-01
   2.26000E+03   3.36300E-01
   2.28500E+03   3.22830E-01
   2.31000E+03   3.05800E-01
   2.33500E+03   2.85800E-01
   2.36000E+03   2.63490E-01
   2.38500E+03   2.39410E-01
   2.41000E+03   2.14610E-01
   2.43500E+03   1.89740E-01
   2.46000E+03   1.65380E-01
   2.48500E+03   1.42280E-01
   2.51000E+03   1.20710E-01
   2.53500E+03   1.00940E-01
   2.56000E+03   8.31500E-02
   2.58500E+03   6.77600E-02
   2.61000E+03   5.44200E-02
   2.63500E+03   4.30400E-02
   2.66000E+03   3.34900E-02
   2.68500E+03   2.58600E-02
   2.71000E+03   1.96600E-02
   2.73500E+03   1.47000E-02
   2.76000E+03   1.08000E-02
   2.78500E+03   7.91000E-03
   2.81000E+03   5.69000E-03
   2.83500E+03   4.03000E-03
   2.86000E+03   0.00000E+00
