# Filter  25: ST-UV27 filter (STFOC)
#   64 data points. Lines 137 to 200
   1.98000E+03   3.64000E-03
   2.00500E+03   4.90000E-03
   2.03000E+03   6.53000E-03
   2.05500E+03   8.58000E-03
   2.08000E+03   1.11300E-02
   2.10500E+03   1.42900E-02
   2.13000E+03   1.81300E-02
   2.15500E+03   2.30000E-02
   2.18000E+03   2.88400E-02
   2.20500E+03   3.57500E-02
   2.23000E+03   4.38300E-02
   2.25500E+03   5.31700E-02
   2.28000E+03   6.38600E-02
   2.30500E+03   7.63100E-02
   2.33000E+03   9.02000E-02
   2.35500E+03   1.05500E-01
   2.38000E+03   1.22150E-01
   2.40500E+03   1.40050E-01
   2.43000E+03   1.59060E-01
   2.45500E+03   1.79120E-01
   2.48000E+03   1.99680E-01
   2.50500E+03   2.20410E-01
   2.53000E+03   2.40990E-01
   2.55500E+03   2.61030E-01
   2.58000E+03   2.80160E-01
   2.60500E+03   2.97490E-01
   2.63000E+03   3.12890E-01
   2.65500E+03   3.26010E-01
   2.68000E+03   3.36550E-01
   2.70500E+03   3.44260E-01
   2.73000E+03   3.48920E-01
   2.75500E+03   3.49600E-01
   2.78000E+03   3.47050E-01
   2.80500E+03   3.41380E-01
   2.83000E+03   3.32710E-01
   2.85500E+03   3.21260E-01
   2.88000E+03   3.07280E-01
   2.90500E+03   2.90690E-01
   2.93000E+03   2.72490E-01
   2.95500E+03   2.53070E-01
   2.98000E+03   2.32820E-01
   3.00500E+03   2.12130E-01
   3.03000E+03   1.91350E-01
   3.05500E+03   1.71030E-01
   3.08000E+03   1.51450E-01
   3.10500E+03   1.32820E-01
   3.13000E+03   1.15320E-01
   3.15500E+03   9.91000E-02
   3.18000E+03   8.42600E-02
   3.20500E+03   7.12100E-02
   3.23000E+03   5.95900E-02
   3.25500E+03   4.93500E-02
   3.28000E+03   4.04300E-02
   3.30500E+03   3.27600E-02
   3.33000E+03   2.62400E-02
   3.35500E+03   2.09800E-02
   3.38000E+03   1.66000E-02
   3.40500E+03   1.29800E-02
   3.43000E+03   1.00300E-02
   3.45500E+03   7.66000E-03
   3.48000E+03   5.78000E-03
   3.50500E+03   4.37000E-03
   3.53000E+03   3.27000E-03
   3.55500E+03   0.00000E+00
