# Filter 363: VIMOS U [added March 2013]
#  507 data points. Lines   3 to 509
   3.32900E+03   1.60077E-02
   3.33430E+03   1.68868E-02
   3.33950E+03   1.86223E-02
   3.34480E+03   1.81913E-02
   3.35010E+03   2.22556E-02
   3.35540E+03   2.42548E-02
   3.36060E+03   2.59214E-02
   3.36590E+03   2.77223E-02
   3.37120E+03   2.93954E-02
   3.37650E+03   3.09422E-02
   3.38170E+03   3.49145E-02
   3.38700E+03   3.51515E-02
   3.39230E+03   3.64689E-02
   3.39750E+03   3.83664E-02
   3.40280E+03   4.07953E-02
   3.40810E+03   4.33691E-02
   3.41340E+03   4.61578E-02
   3.41860E+03   4.88421E-02
   3.42390E+03   5.14596E-02
   3.42920E+03   5.40894E-02
   3.43440E+03   5.64625E-02
   3.43970E+03   5.88196E-02
   3.44500E+03   6.09046E-02
   3.45030E+03   6.28553E-02
   3.45550E+03   6.48242E-02
   3.46080E+03   6.65591E-02
   3.46610E+03   6.83560E-02
   3.47130E+03   6.99588E-02
   3.47660E+03   7.15273E-02
   3.48190E+03   7.32242E-02
   3.48720E+03   7.47826E-02
   3.49240E+03   7.65048E-02
   3.49770E+03   7.81145E-02
   3.50300E+03   7.97656E-02
   3.50820E+03   8.16129E-02
   3.51350E+03   8.33652E-02
   3.51880E+03   8.53213E-02
   3.52410E+03   8.71794E-02
   3.52930E+03   8.92390E-02
   3.53460E+03   9.21279E-02
   3.53990E+03   9.52482E-02
   3.54520E+03   9.82691E-02
   3.55040E+03   1.01339E-01
   3.55570E+03   1.04444E-01
   3.56100E+03   1.07755E-01
   3.56620E+03   1.10898E-01
   3.57150E+03   1.14034E-01
   3.57680E+03   1.17347E-01
   3.58210E+03   1.20432E-01
   3.58730E+03   1.23467E-01
   3.59260E+03   1.26648E-01
   3.59790E+03   1.29545E-01
   3.60320E+03   1.32352E-01
   3.60840E+03   1.35283E-01
   3.61370E+03   1.37884E-01
   3.61900E+03   1.40368E-01
   3.62420E+03   1.42963E-01
   3.62950E+03   1.45199E-01
   3.63480E+03   1.47307E-01
   3.64010E+03   1.49285E-01
   3.64530E+03   1.51381E-01
   3.65060E+03   1.53111E-01
   3.65590E+03   1.54724E-01
   3.66110E+03   1.56480E-01
   3.66640E+03   1.57886E-01
   3.67170E+03   1.59204E-01
   3.67700E+03   1.60702E-01
   3.68220E+03   1.61884E-01
   3.68750E+03   1.63020E-01
   3.69280E+03   1.64385E-01
   3.69800E+03   1.65477E-01
   3.70330E+03   1.66572E-01
   3.70860E+03   1.67948E-01
   3.71390E+03   1.69097E-01
   3.71910E+03   1.70296E-01
   3.72440E+03   1.71558E-01
   3.72970E+03   1.73165E-01
   3.73500E+03   1.74592E-01
   3.74020E+03   1.76115E-01
   3.74550E+03   1.78011E-01
   3.75080E+03   1.79740E-01
   3.75600E+03   1.81571E-01
   3.76130E+03   1.83781E-01
   3.76660E+03   1.85802E-01
   3.77190E+03   1.87901E-01
   3.77710E+03   1.90349E-01
   3.78240E+03   1.92548E-01
   3.78770E+03   1.94757E-01
   3.79290E+03   1.97241E-01
   3.79820E+03   1.99372E-01
   3.80350E+03   2.01400E-01
   3.80880E+03   2.03277E-01
   3.81400E+03   2.05254E-01
   3.81930E+03   2.06664E-01
   3.82460E+03   2.07746E-01
   3.82980E+03   2.08741E-01
   3.83510E+03   2.08957E-01
   3.84040E+03   2.08628E-01
   3.84570E+03   2.07978E-01
   3.85090E+03   2.06311E-01
   3.85620E+03   2.03851E-01
   3.86150E+03   2.00804E-01
   3.86680E+03   1.96494E-01
   3.87200E+03   1.91135E-01
   3.87730E+03   1.84913E-01
   3.88260E+03   1.77204E-01
   3.88780E+03   1.68215E-01
   3.89310E+03   1.57880E-01
   3.89840E+03   1.46353E-01
   3.90370E+03   1.33154E-01
   3.90890E+03   1.18478E-01
   3.91420E+03   1.02456E-01
   3.91950E+03   8.47774E-02
   3.92470E+03   6.56358E-02
   3.93000E+03   4.51457E-02
   3.93530E+03   2.59111E-02
   3.94060E+03   1.68132E-02
