# Filter  92: WFPC2 filter F300W (via Caryl Gronwall)
#   19 data points. Lines   3 to  21
   2.20000E+03   0.00000E+00
   2.30000E+03   1.10000E-02
   2.40000E+03   1.65000E-01
   2.50000E+03   6.53000E-01
   2.60000E+03   9.55000E-01
   2.70000E+03   1.00000E+00
   2.80000E+03   9.79000E-01
   2.90000E+03   9.55000E-01
   3.00000E+03   8.54000E-01
   3.10000E+03   7.15000E-01
   3.20000E+03   6.23000E-01
   3.30000E+03   5.03000E-01
   3.40000E+03   4.22000E-01
   3.50000E+03   3.21000E-01
   3.60000E+03   2.40000E-01
   3.70000E+03   1.56000E-01
   3.80000E+03   9.50000E-02
   3.90000E+03   2.20000E-02
   4.00000E+03   1.14000E-01
