# Filter  94: WFPC2 filter F606W (via Caryl Gronwall)
#   30 data points. Lines  48 to  77
   4.50000E+03   0.00000E+00
   4.60000E+03   0.00000E+00
   4.70000E+03   3.12500E-02
   4.80000E+03   3.43750E-01
   4.90000E+03   4.06250E-01
   5.00000E+03   4.89583E-01
   5.10000E+03   5.83333E-01
   5.20000E+03   5.93750E-01
   5.30000E+03   6.04166E-01
   5.40000E+03   7.39583E-01
   5.50000E+03   7.50000E-01
   5.60000E+03   8.33333E-01
   5.70000E+03   8.22917E-01
   5.80000E+03   8.33333E-01
   5.90000E+03   9.47917E-01
   6.00000E+03   9.47917E-01
   6.10000E+03   9.58333E-01
   6.20000E+03   1.00000E+00
   6.30000E+03   9.27083E-01
   6.40000E+03   9.27083E-01
   6.50000E+03   9.68750E-01
   6.60000E+03   9.37500E-01
   6.70000E+03   9.06250E-01
   6.80000E+03   8.85417E-01
   6.90000E+03   6.56250E-01
   7.00000E+03   4.89583E-01
   7.10000E+03   3.02083E-01
   7.20000E+03   2.08333E-01
   7.30000E+03   2.08333E-02
   7.40000E+03   0.00000E+00
