# Filter  95: WFPC2 filter F814W (via Caryl Gronwall)
#   33 data points. Lines  80 to 112
   6.80000E+03   0.00000E+00
   6.90000E+03   0.00000E+00
   7.00000E+03   7.00000E-01
   7.10000E+03   8.40000E-01
   7.20000E+03   1.00000E+00
   7.30000E+03   9.90000E-01
   7.40000E+03   9.20000E-01
   7.50000E+03   8.70000E-01
   7.60000E+03   8.60000E-01
   7.70000E+03   8.40000E-01
   7.80000E+03   7.90000E-01
   7.90000E+03   7.40000E-01
   8.00000E+03   6.70000E-01
   8.10000E+03   5.90000E-01
   8.20000E+03   5.60000E-01
   8.30000E+03   5.40000E-01
   8.40000E+03   5.10000E-01
   8.50000E+03   4.80000E-01
   8.60000E+03   4.40000E-01
   8.70000E+03   4.10000E-01
   8.80000E+03   3.70000E-01
   8.90000E+03   3.50000E-01
   9.00000E+03   3.30000E-01
   9.10000E+03   3.20000E-01
   9.20000E+03   3.10000E-01
   9.30000E+03   2.80000E-01
   9.40000E+03   2.50000E-01
   9.50000E+03   2.00000E-01
   9.60000E+03   1.30000E-01
   9.70000E+03   4.00000E-02
   9.80000E+03   1.00000E-02
   9.90000E+03   0.00000E+00
   1.00000E+04   0.00000E+00
