# col1        col2       
  25299.0     0.0
  25300.0     7.881E-16  
  25400.0     2.569E-15  
  25500.0     4.239E-14  
  25600.0     4.248E-15  
  25700.0     2.295E-15  
  25800.0     1.714E-14  
  25900.0     2.36E-18   
  26000.0     6.839E-15  
  26099.998   1.051E-14  
  26199.998   2.846E-14  
  26300.002   1.439E-14  
  26400.002   3.569E-15  
  26500.0     6.334E-15  
  26600.0     3.919E-16  
  26700.0     1.584E-14  
  26800.0     1.23E-14   
  26900.0     1.676E-14  
  27000.0     9.608E-15  
  27100.0     4.714E-15  
  27200.0     7.747E-15  
  27300.0     8.743E-14  
  27400.0     1.754E-14  
  27500.0     1.335E-14  
  27600.0     2.017E-13  
  27700.0     1.213E-14  
  27800.0     1.575E-14  
  27900.0     6.245E-16  
  28000.0     3.361E-16  
  28100.0     6.194E-17  
  28200.0     1.819E-15  
  28300.0     2.308E-15  
  28400.0     2.08E-14   
  28500.0     8.315E-15  
  28599.998   3.115E-15  
  28699.998   2.756E-15  
  28800.002   2.809E-15  
  28900.002   3.048E-14  
  29000.0     3.32E-14   
  29100.0     1.475E-13  
  29200.0     9.895E-16  
  29300.0     2.82E-14   
  29400.0     2.226E-14  
  29500.0     2.071E-14  
  29600.0     3.718E-15  
  29700.0     2.146E-15  
  29800.0     3.079E-16  
  29900.0     1.568E-13  
  30000.0     3.864E-13  
  30100.0     1.768E-15  
  30200.0     3.508E-14  
  30300.0     1.697E-14  
  30400.0     2.113E-15  
  30500.0     2.988E-14  
  30600.0     3.922E-16  
  30700.0     1.305E-14  
  30800.0     1.667E-12  
  30900.0     1.655E-12  
  31000.0     1.02E-14   
  31099.998   4.239E-14  
  31199.998   2.522E-14  
  31300.002   6.59E-16   
  31400.002   1.006E-14  
  31500.0     4.248E-15  
  31600.0     6.499E-15  
  31700.0     4.209E-14  
  31800.0     8.015E-14  
  31900.0     9.559E-15  
  32000.0     2.432E-14  
  32100.0     4.385E-15  
  32200.0     3.762E-14  
  32300.0     7.531E-14  
  32400.0     1.204E-14  
  32500.0     7.082E-15  
  32600.0     2.6E-14    
  32700.0     1.12E-13   
  32800.0     2.38E-14   
  32900.0     4.367E-14  
  33000.0     2.468E-14  
  33100.0     6.965E-14  
  33200.0     2.205E-13  
  33300.0     2.034E-13  
  33400.0     2.752E-14  
  33500.0     5.893E-14  
  33600.0     7.243E-15  
  33700.0     1.854E-13  
  33800.0     3.233E-14  
  33900.0     1.662E-14  
  34000.0     4.203E-14  
  34100.0     3.925E-14  
  34200.0     1.9E-14    
  34300.0     3.699E-17  
  34400.0     1.96E-14   
  34500.0     3.648E-14  
  34600.0     1.093E-14  
  34700.0     1.496E-14  
  34800.0     2.542E-13  
  34900.0     1.543E-14  
  35000.0     1.305E-13  
  35100.0     1.778E-13  
  35200.0     4.18E-14   
  35300.0     4.653E-13  
  35400.0     2.543E-14  
  35500.0     1.553E-13  
  35600.0     6.269E-13  
  35700.0     5.781E-15  
  35800.0     5.123E-14  
  35900.0     3.433E-15  
  36000.0     7.908E-14  
  36100.0     1.911E-14  
  36200.0     8.563E-14  
  36300.0     1.502E-12  
  36400.0     3.744E-14  
  36500.0     2.618E-12  
  36600.0     1.334E-12  
  36700.0     2.019E-12  
  36800.0     4.074E-12  
  36900.0     1.37E-12   
  37000.0     2.669E-15  
  37100.0     1.756E-14  
  37200.0     9.076E-15  
  37300.0     7.329E-14  
  37400.0     1.165E-12  
  37500.0     2.875E-14  
  37600.0     1.55E-14   
  37700.0     7.578E-14  
  37800.0     8.766E-13  
  37900.0     7.586E-14  
  38000.0     2.743E-13  
  38100.0     2.055E-12  
  38200.0     5.524E-14  
  38300.0     3.387E-15  
  38400.0     1.749E-12  
  38500.0     1.163E-13  
  38600.0     9.348E-13  
  38700.0     4.598E-14  
  38800.0     1.163E-12  
  38900.0     2.358E-14  
  39000.0     3.281E-14  
  39100.0     1.635E-14  
  39200.0     2.442E-14  
  39300.0     9.823E-13  
  39400.0     1.558E-13  
  39500.0     1.34E-12   
  39600.0     1.856E-12  
  39700.0     1.027E-13  
  39800.0     8.941E-14  
  39900.0     4.391E-13  
  40000.0     1.324E-13  
  40100.004   5.65E-13   
  40200.0     2.837E-14  
  40300.004   2.561E-13  
  40400.0     1.681E-12  
  40500.0     2.498E-15  
  40600.0     1.014E-13  
  40700.0     1.699E-14  
  40800.0     1.824E-13  
  40900.0     4.371E-13  
  41000.0     5.179E-13  
  41100.0     1.594E-14  
  41200.0     2.314E-13  
  41300.0     2.656E-14  
  41400.0     1.57E-14   
  41500.0     3.399E-13  
  41600.0     1.939E-13  
  41700.0     1.544E-14  
  41800.0     5.167E-14  
  41900.0     7.325E-14  
  42000.0     3.341E-14  
  42100.0     7.784E-13  
  42199.996   8.746E-14  
  42300.0     6.948E-13  
  42399.996   1.384E-14  
  42500.0     8.174E-13  
  42600.004   5.0E-13    
  42700.0     6.165E-13  
  42800.004   2.025E-13  
  42900.0     2.248E-13  
  43000.0     2.233E-14  
  43100.0     9.104E-13  
  43200.0     8.079E-13  
  43300.0     6.019E-15  
  43400.0     4.916E-13  
  43500.0     1.016E-12  
  43600.0     6.785E-14  
  43700.0     2.168E-13  
  43800.0     1.159E-13  
  43900.0     3.107E-14  
  44000.0     8.764E-13  
  44100.0     2.337E-12  
  44200.0     8.609E-14  
  44300.0     1.381E-12  
  44400.0     3.351E-12  
  44500.0     4.077E-13  
  44600.0     2.25E-13   
  44699.996   1.447E-13  
  44800.0     5.122E-14  
  44899.996   1.469E-13  
  45000.0     1.213E-13  
  45100.004   1.456E-13  
  45200.0     1.822E-13  
  45300.004   2.083E-12  
  45400.0     1.237E-12  
  45500.0     3.622E-14  
  45600.0     3.862E-12  
  45700.0     2.748E-13  
  45800.0     2.075E-13  
  45900.0     1.405E-13  
  46000.0     2.944E-12  
  46100.0     2.392E-12  
  46200.0     2.962E-13  
  46300.0     2.42E-12   
  46400.0     4.177E-12  
  46500.0     3.011E-14  
  46600.0     3.443E-15  
  46700.0     2.757E-14  
  46800.0     2.291E-12  
  46900.0     1.163E-13  
  47000.0     1.381E-13  
  47100.0     9.779E-14  
  47199.996   4.176E-14  
  47300.0     4.826E-14  
  47399.996   2.152E-14  
  47500.0     9.154E-13  
  47600.004   1.865E-13  
  47700.0     5.911E-14  
  47800.004   1.742E-12  
  47900.0     1.35E-13   
  48000.0     1.242E-13  
  48100.0     1.021E-13  
  48200.0     4.28E-12   
  48300.0     1.574E-14  
  48400.0     1.514E-12  
  48500.0     5.62E-12   
  48600.0     4.841E-12  
  48700.0     2.116E-13  
  48800.0     3.672E-13  
  48900.0     4.443E-13  
  49000.0     8.335E-14  
  49100.0     9.692E-14  
  49200.0     1.004E-13  
  49300.0     7.43E-12   
  49400.0     5.981E-12  
  49500.0     5.799E-12  
  49600.0     1.227E-11  
  49699.996   1.786E-11  
  49800.0     1.151E-11  
  49899.996   2.274E-13  
  50000.0     1.781E-11  
  50100.004   1.094E-11  
  50200.0     7.1E-12    
  50300.004   2.239E-12  
  50400.0     5.988E-12  
  50500.0     1.045E-10  
  50600.0     1.881E-10  
  50700.0     1.288E-11  
  50800.0     2.693E-11  
  50900.0     1.131E-11  
  51000.0     1.081E-10  
  51100.0     5.374E-8   
  51200.0     5.282E-8   
  51300.0     5.672E-8   
  51400.0     4.036E-8   
  51500.0     4.115E-8   
  51600.0     3.799E-8   
  51700.0     3.526E-8   
  51800.0     3.261E-8   
  51900.0     4.859E-8   
  52000.0     4.647E-8   
  52100.0     3.574E-8   
  52199.996   3.056E-8   
  52300.0     3.124E-8   
  52399.996   3.269E-8   
  52500.0     4.826E-8   
  52600.004   3.99E-8    
  52700.0     4.06E-8    
  52800.004   4.437E-8   
  52900.0     5.022E-8   
  53000.0     4.027E-8   
  53100.0     5.383E-8   
  53200.0     5.773E-8   
  53300.0     6.049E-8   
  53400.0     5.459E-8   
  53500.0     5.656E-8   
  53600.0     3.697E-8   
  53700.0     4.265E-8   
  53800.0     5.231E-8   
  53900.0     5.364E-8   
  54000.0     5.302E-8   
  54100.0     5.353E-8   
  54200.0     4.134E-8   
  54300.0     3.768E-8   
  54400.0     5.099E-8   
  54500.0     6.304E-8   
  54600.0     6.161E-8   
  54699.996   6.96E-8    
  54800.0     7.167E-8   
  54899.996   6.998E-8   
  55000.0     7.024E-8   
  55100.004   7.112E-8   
  55200.0     7.209E-8   
  55300.004   7.247E-8   
  55400.0     7.191E-8   
  55500.0     7.223E-8   
  55600.0     7.243E-8   
  55700.0     7.253E-8   
  55800.0     7.268E-8   
  55900.0     7.172E-8   
  56000.0     7.139E-8   
  56100.0     7.079E-8   
  56200.0     7.244E-8   
  56300.0     7.253E-8   
  56400.0     7.072E-8   
  56500.0     6.998E-8   
  56600.0     6.911E-8   
  56700.0     6.902E-8   
  56800.0     6.76E-8    
  56900.0     6.554E-8   
  57000.0     6.512E-8   
  57100.0     6.71E-8    
  57199.996   6.579E-8   
  57300.0     6.57E-8    
  57399.996   6.797E-8   
  57500.0     7.022E-8   
  57600.004   7.159E-8   
  57700.0     7.197E-8   
  57800.004   7.066E-8   
  57900.0     7.329E-8   
  58000.0     7.403E-8   
  58100.0     7.552E-8   
  58200.0     7.891E-8   
  58300.0     7.952E-8   
  58400.0     7.898E-8   
  58500.0     8.06E-8    
  58600.0     7.883E-8   
  58700.0     7.931E-8   
  58800.0     8.019E-8   
  58900.0     8.298E-8   
  59000.0     8.105E-8   
  59100.0     8.085E-8   
  59200.0     8.087E-8   
  59300.0     8.39E-8    
  59400.0     8.45E-8    
  59500.0     8.642E-8   
  59600.0     8.803E-8   
  59699.996   9.06E-8    
  59800.0     8.867E-8   
  59899.996   9.125E-8   
  60000.0     8.951E-8   
  60100.004   9.021E-8   
  60200.0     9.268E-8   
  60300.004   9.34E-8    
  60400.0     9.762E-8   
  60500.0     9.764E-8   
  60600.0     9.402E-8   
  60700.0     9.818E-8   
  60800.0     9.727E-8   
  60900.0     1.032E-7   
  61000.0     1.071E-7   
  61100.0     1.126E-7   
  61200.0     1.211E-7   
  61300.0     1.414E-7   
  61400.0     1.653E-7   
  61500.0     2.071E-7   
  61600.0     2.557E-7   
  61700.0     3.35E-7    
  61800.0     4.488E-7   
  61900.0     6.24E-7    
  62000.0     8.665E-7   
  62100.0     1.09E-6    
  62199.996   1.231E-6   
  62300.0     1.654E-6   
  62399.996   1.282E-6   
  62500.0     1.848E-6   
  62600.004   1.569E-6   
  62700.0     1.588E-6   
  62800.004   1.982E-6   
  62900.0     1.164E-6   
  63000.0     1.417E-6   
